,time,lat,lon,velocity,heading,baroaltitude,geoaltitude,onground,hour
1,1641414552.0,30.52972412109375,-91.14747888901655,75.32169946827031,133.6163130326315,68.58,45.72,false,1641412800.0
2,1641414553.0,30.52894592285156,-91.14650950712314,75.32169946827031,133.6163130326315,83.82000000000001,45.72,false,1641412800.0
3,1641414554.0,30.52876281738281,-91.14629408892466,77.13229610855159,133.9190758133393,91.44,76.2,false,1641412800.0
4,1641414555.0,30.52788685944121,-91.1452697753906,77.50368199963013,133.6552756112977,106.68,91.44000000000001,false,1641412800.0
5,1641414556.0,30.52751444153866,-91.144775390625,77.50368199963013,133.6552756112977,114.3,91.44000000000001,false,1641412800.0
7,1641414558.0,30.52642822265625,-91.14349365234375,78.23101717841844,133.6677801461304,137.16,91.44000000000001,false,1641412800.0
8,1641414559.0,30.52593166545286,-91.14290771484372,78.94494767572947,134.2079429078376,144.78,114.3,false,1641412800.0
10,1641414561.0,30.52490751622087,-91.14169921874998,80.75951580109668,134.4838357702352,167.64,144.78,false,1641412800.0
12,1641414563.0,30.52388336698888,-91.14049072265624,80.75951580109668,134.4838357702352,182.88,144.78,false,1641412800.0
13,1641414564.0,30.5233154296875,-91.13988539751841,81.48377237072403,135.0,190.5,167.64,false,1641412800.0
14,1641414565.0,30.52281266551907,-91.1392822265625,82.57587413820723,135.2524026822892,205.74,182.88,false,1641412800.0
15,1641414566.0,30.52226257324219,-91.13870059742646,82.57587413820723,135.2524026822892,213.36,182.88,false,1641412800.0
16,1641414567.0,30.52174196404926,-91.13807373046876,83.30340082238574,135.2501983201976,228.6,205.74,false,1641412800.0
20,1641414571.0,30.51947021484375,-91.13546932444854,84.03092762773487,135.2480321281565,274.32,243.84,false,1641412800.0
21,1641414572.0,30.51905822753906,-91.13498463350186,84.03092762773487,135.2480321281565,289.56,243.84,false,1641412800.0
22,1641414573.0,30.5187160685911,-91.13461303710938,84.03092762773487,135.2480321281565,297.18,243.84,false,1641412800.0
23,1641414574.0,30.5181884765625,-91.13396139705884,85.84897446201282,135.0,304.8,297.18,false,1641412800.0
24,1641414575.0,30.5174126059322,-91.13307495117186,86.21350874013051,134.7582470907319,320.04,304.8,false,1641412800.0
25,1641414576.0,30.51676087460275,-91.13230590820314,86.941036,134.7602701039192,335.28,312.42,false,1641412800.0
31,1641414582.0,30.51370239257812,-91.12879136029414,89.1236184086955,135.2338590258733,396.24,327.66,false,1641412800.0
33,1641414584.0,30.51215220305879,-91.12703247070311,92.03948069178914,135.6793647554653,419.1,403.86,false,1641412800.0
34,1641414585.0,30.51155090332031,-91.12636790556064,92.03948069178914,135.6793647554653,426.72,411.48,false,1641412800.0
35,1641414586.0,30.51117460606462,-91.12598876953126,92.76696363261715,135.6740368979845,426.72,419.1,false,1641412800.0
36,1641414587.0,30.51081848144531,-91.12556008731616,94.94941712047442,135.6585431775636,434.34,426.72,false,1641412800.0
37,1641414588.0,30.51036071777344,-91.12502154181988,95.67690311242889,135.6535356806778,441.96,434.34,false,1641412800.0
38,1641414589.0,30.50958251953125,-91.12415986902573,95.67690311242889,135.6535356806778,449.58,441.96,false,1641412800.0
39,1641414590.0,30.50898665088718,-91.12346191406249,97.85936534275174,135.6389598989916,457.2,449.58,false,1641412800.0
40,1641414591.0,30.50784301757812,-91.12216725068936,98.58685411868866,135.6342447144261,472.44,464.8200000000001,false,1641412800.0
42,1641414593.0,30.50665903899629,-91.12088012695312,99.31434355252811,135.6295986084103,487.68,464.82,false,1641412800.0
43,1641414594.0,30.50628662109375,-91.12044390510113,100.4101915124409,135.830315486258,495.3,487.68,false,1641412800.0
44,1641414595.0,30.50535557633739,-91.11939697265626,100.7798290748316,136.0341075448835,510.54,510.54,false,1641412800.0
45,1641414596.0,30.50495910644531,-91.11898983226104,101.5072451116268,136.0266961800579,518.1600000000001,518.1600000000001,false,1641412800.0
46,1641414597.0,30.50405211367849,-91.11796874999999,101.5072451116268,136.0266961800579,525.78,518.1600000000001,false,1641412800.0
47,1641414598.0,30.50340270996094,-91.11721263212314,102.5925682529623,135.8126515942537,541.02,541.02,false,1641412800.0
48,1641414599.0,30.50298141220869,-91.11676025390625,103.3200292723037,135.8069294551024,548.64,548.64,false,1641412800.0
49,1641414600.0,30.50202941894531,-91.11570470473345,104.0474913077543,135.801287330107,563.88,563.88,false,1641412800.0
50,1641414601.0,30.50163139731197,-91.11527709960939,104.0474913077543,135.801287330107,571.5,563.88,false,1641412800.0
