,time,lat,lon,velocity,heading,baroaltitude,geoaltitude,onground,hour
0,1641125850,30.54148864746094,-91.16191190831802,79.33120143332054,313.4234499448163,114.3,53.34,false,1641124800
1,1641125851,30.54194641113281,-91.16250430836396,79.33120143332054,313.4234499448163,129.54,76.20000000000002,false,1641124800
2,1641125852,30.54194641113281,-91.16250430836396,79.33120143332054,313.4234499448163,129.54,76.20000000000002,false,1641124800
3,1641125853,30.54286193847656,-91.16358139935664,79.68569840856041,313.6921043983362,144.78,99.06,false,1641124800
4,1641125854,30.54286193847656,-91.16358139935664,80.04193179905322,313.95837332399,152.4,106.68,false,1641124800
5,1641125855,30.54380772477489,-91.16477050781248,80.04193179905322,313.95837332399,167.64,114.3,false,1641124800
6,1641125856,30.54450600834216,-91.16559448242185,80.76934634007137,313.9677553084343,175.26,121.92,false,1641124800
7,1641125857,30.54450600834216,-91.16559448242185,81.14039348571261,313.7155564781992,182.88,137.16,false,1641124800
8,1641125858,30.5452880859375,-91.16654339958643,81.15996110500488,313.2020681430995,190.5,137.16,false,1641124800
9,1641125859,30.54606628417969,-91.16756663602939,81.56492990998501,312.4438499214217,213.36,167.64,false,1641124800
10,1641125860,30.54634094238281,-91.16794361787686,81.60061365615924,311.9335144988741,220.98,167.64,false,1641124800
11,1641125861,30.54656982421875,-91.168212890625,81.64276524848542,311.4236656250026,236.22,175.26,false,1641124800
12,1641125862,30.5474853515625,-91.16950539981616,82.1388426663296,310.173141218877,243.84,198.12,false,1641124800
13,1641125863,30.54771811275159,-91.16982421874997,82.1388426663296,310.173141218877,259.08,213.36,false,1641124800
14,1641125864,30.54799742617849,-91.17020874023439,81.87582729972797,309.3907255535542,266.7,220.98,false,1641124800
15,1641125865,30.54881286621094,-91.17139030905332,81.87582729972797,309.3907255535542,281.94,220.98,false,1641124800
16,1641125866,30.54930088883739,-91.17213134765626,81.87582729972797,309.3907255535542,297.18,220.98,false,1641124800
17,1641125867,30.5496826171875,-91.17273667279414,81.49026794826798,307.3039482779834,312.42,274.32,false,1641124800
18,1641125868,30.5496826171875,-91.17273667279414,81.49026794826798,307.3039482779834,327.66,281.94,false,1641124800
19,1641125869,30.55055236816406,-91.17408303653491,81.49026794826798,307.3039482779834,342.9,281.94,false,1641124800
20,1641125870,30.55055236816406,-91.17408303653491,80.87085860313857,306.7241071729248,350.52,320.04,false,1641124800
21,1641125871,30.55055236816406,-91.17408303653491,81.28377997103874,306.5072709718815,373.38,320.04,false,1641124800
22,1641125872,30.55190781415519,-91.17619628906249,81.09308557929788,305.7066914006029,388.62,342.9,false,1641124800
23,1641125873,30.55232678429555,-91.17685546874998,81.09308557929788,305.7066914006029,403.86,342.9,false,1641124800
24,1641125874,30.55274575443591,-91.17756958007811,81.09308557929788,305.7066914006029,411.48,342.9,false,1641124800
25,1641125875,30.55302506786282,-91.17800903320312,82.22900961215369,305.5793474424553,426.72,388.62,false,1641124800
26,1641125876,30.55344403800318,-91.17866821289061,82.64795434855094,305.3718438715133,434.34,396.24,false,1641124800
27,1641125877,30.55366516113281,-91.17903765510113,82.64795434855094,305.3718438715133,441.96,396.24,false,1641124800
28,1641125878,30.55435180664062,-91.18016860064341,83.3653287710866,305.4554744344418,457.2,411.48,false,1641124800
29,1641125879,30.55435180664062,-91.18016860064341,84.08287777389107,305.5376777919744,457.2,419.1,false,1641124800
30,1641125880,30.55530612751589,-91.18168945312499,84.80059692527755,305.6184898392518,472.44,426.72,false,1641124800
31,1641125881,30.55581665039062,-91.18248434627759,85.51848194129866,305.6979452887012,472.44,434.34,false,1641124800
32,1641125882,30.55581665039062,-91.18248434627759,86.23652867968191,305.7760777178946,480.06,441.96,false,1641124800
33,1641125883,30.556640625,-91.18383071001841,87.37222148616756,305.6553280979003,487.68,449.58,false,1641124800
34,1641125884,30.55709838867188,-91.18458467371323,89.11025465453763,306.0760115563686,495.3,457.2,false,1641124800
35,1641125885,30.55760192871094,-91.18533863740811,89.82905244049188,306.1479959006106,495.3,457.2,false,1641124800
36,1641125886,30.55814581402277,-91.18619384765623,89.82905244049188,306.1479959006106,502.92,457.2,false,1641124800
37,1641125887,30.55861133640095,-91.18696289062501,90.4397819329371,306.6743496695732,510.54,464.82,false,1641124800
38,1641125888,30.55912341101695,-91.18773193359374,91.15970905433167,306.7405620201212,518.1600000000001,472.44,false,1641124800
39,1641125889,30.55938720703125,-91.18808521943936,91.87975600849258,306.8057366653698,525.78,487.6800000000001,false,1641124800
40,1641125890,30.56014756024894,-91.18927001953125,92.59992,306.869897645844,533.4,495.3,false,1641124800
41,1641125891,30.56057739257812,-91.18997012867646,93.22088677066796,307.3758074955482,541.02,502.92,false,1641124800
42,1641125892,30.56117170948093,-91.19080810546876,93.94203835966651,307.4346789315677,548.64,510.54,false,1641124800
43,1641125893,30.56163024902344,-91.19153191061582,95.29302708443274,307.9834982552771,556.26,518.16,false,1641124800
44,1641125894,30.56217956542969,-91.19228587431064,95.29302708443274,307.9834982552771,563.88,525.78,false,1641124800
45,1641125895,30.56272888183594,-91.19309369255518,96.01515340467579,308.036531473512,563.88,533.4,false,1641124800
46,1641125896,30.56327819824219,-91.19390151079966,96.73736075709819,308.0887728809753,571.5,525.78,false,1641124800
47,1641125897,30.56382751464844,-91.19470932904414,97.77819914243666,308.377333404619,579.12,541.02,false,1641124800
48,1641125898,30.56443036612818,-91.19558715820312,98.82146535605713,308.6598082540901,586.74,548.64,false,1641124800
49,1641125899,30.56503554521981,-91.1964111328125,100.9910046570642,308.7965520983082,594.36,563.88,false,1641124800
50,1641125900,30.56559417207362,-91.19723510742188,101.7143086206877,308.8408369708569,594.36,563.88,false,1641124800
51,1641125901,30.56619935116525,-91.19805908203125,101.7143086206877,308.8408369708569,601.98,563.88,false,1641124800
52,1641125902,30.56689763473252,-91.1991027832031,102.4376724903607,308.8844964337146,609.6,571.5,false,1641124800
53,1641125903,30.56716918945312,-91.19950238396143,103.4851131225561,309.1491236672707,609.6,579.12,false,1641124800
54,1641125904,30.56782867948888,-91.20042114257814,103.8845749421338,308.9699911917185,617.22,586.74,false,1641124800
55,1641125905,30.56843385858051,-91.2013000488281,104.9327052696312,309.2301149421203,624.84,601.98,false,1641124800
56,1641125906,30.56903903767214,-91.20212402343748,105.2588127718981,309.4470289669632,640.08,609.6,false,1641124800
