Unnamed: 0,time,lat,lon,baroaltitude,geoaltitude,heading,velocity
491,2023-01-01 10:03:32.957958,36.73494046288274,-96.33438663149096,11582.4,11791.789819915297,248.6293777306568,190.5874427891723
492,2023-01-01 10:03:54.198198,36.72152512853248,-96.37679729038824,11582.4,11795.76,248.4854973770424,190.7755073677223
493,2023-01-01 10:04:15.438438,36.708405503304675,-96.41833606059664,11582.4,11795.76,248.5420176466246,191.2542004196113
494,2023-01-01 10:04:36.678679,36.69463139738089,-96.46171740939955,11582.4,11795.76,248.4552647625566,191.9213995829809
495,2023-01-01 10:04:57.918919,36.68106402035989,-96.50441039533524,11587.095567675591,11803.38,248.5115236356663,192.3999927108619
496,2023-01-01 10:05:19.159159,36.66789666022487,-96.5458837715846,11590.02,11803.38,248.3691131634821,192.5890356903843
497,2023-01-01 10:05:40.399399,36.65452794938681,-96.58774009009728,11587.226381456852,11800.586381456853,248.3691131634821,192.5890356903843
498,2023-01-01 10:06:01.639640,36.640999665845406,-96.6299563534111,11582.4,11795.76,248.3691131634821,192.5890356903843
499,2023-01-01 10:06:22.879880,36.62685249942297,-96.67415515812536,11582.4,11802.464685230254,248.2269828698539,192.7792661217041
500,2023-01-01 10:06:44.120120,36.6133937582755,-96.71600973544254,11582.4,11798.894955032893,248.3358237428602,192.30761843787323
501,2023-01-01 10:07:05.360360,36.59984579884006,-96.75831071399595,11575.998513468505,11796.978513468504,248.2648042143746,191.7094058533884
502,2023-01-01 10:07:26.600601,36.58630473657383,-96.8006113679936,11579.11718634752,11795.76,248.2557149010146,191.632979465726
503,2023-01-01 10:07:47.840841,36.57294017346431,-96.84219738380308,11574.78,11795.76,248.2557149010146,191.632979465726
504,2023-01-01 10:08:09.081081,36.559691138569114,-96.88336021962196,11574.78,11795.76,248.1985905136482,191.1552349588637
505,2023-01-01 10:08:30.321321,36.546078003252205,-96.92560599716104,11582.4,11798.92355848968,248.1411799321473,190.6776814173691
506,2023-01-01 10:08:51.561562,36.53212419571355,-96.96862783045314,11582.4,11803.38,248.0834811165077,190.2003202796653
507,2023-01-01 10:09:12.801802,36.51867451899592,-97.00996097013363,11575.976447812149,11796.956447812148,248.0834811165077,190.2003202796653
508,2023-01-01 10:09:34.042042,36.50528704810501,-97.05114138003016,11580.377875780558,11795.76,248.0834811165077,190.2003202796653
509,2023-01-01 10:09:55.282282,36.49160655400923,-97.09310545887575,11574.78,11802.696373940706,248.0834811165077,190.2003202796653
510,2023-01-01 10:10:16.522522,36.478350832923695,-97.13390520112397,11574.78,11796.158162106514,248.0759763653595,190.21038495674983
511,2023-01-01 10:10:37.762763,36.464617200780005,-97.17612143941498,11578.157865570876,11802.515731141752,248.1411799321473,190.6776814173691
512,2023-01-01 10:10:59.003003,36.45070291355388,-97.218841500314,11574.78,11797.670720944405,247.97653479065423,191.03779973098335
513,2023-01-01 10:11:20.243243,36.437380166450055,-97.25951086722026,11574.78,11803.38,247.9128283967717,191.5397366448487
514,2023-01-01 10:11:41.483484,36.42340998893996,-97.30215315038038,11582.4,11811.0,247.9128283967717,191.5397366448487
515,2023-01-01 10:12:02.723724,36.40970779682332,-97.34398875295943,11582.4,11811.0,247.9705488142592,192.0165244990935
516,2023-01-01 10:12:23.963964,36.3958945210874,-97.38631229284071,11586.669087848068,11815.269087848068,247.9128283967717,191.5397366448487
517,2023-01-01 10:12:45.204204,36.382017672888374,-97.42862221036982,11590.02,11818.62,247.89648493225863,191.0068295773919
518,2023-01-01 10:13:06.444444,36.368326822943345,-97.47033437085064,11590.02,11818.62,247.7965214679426,190.5867484802835
519,2023-01-01 10:13:27.684685,36.35477099761866,-97.51144782106704,11582.74324316842,11818.62,247.93339919160368,190.4016676293401
520,2023-01-01 10:13:48.924925,36.34077668218621,-97.5540047625994,11582.4,11813.508218186696,247.7965214679426,190.5867484802835
521,2023-01-01 10:14:10.165165,36.32729113069632,-97.59483741260289,11582.4,11811.0,247.7965214679426,190.5867484802835
522,2023-01-01 10:14:31.405406,36.31335407971346,-97.63696000405162,11574.78,11811.0,247.7120746086864,191.2576598238369
523,2023-01-01 10:14:52.645646,36.29942658611154,-97.679049267772,11574.78,11811.0,247.7313879171271,191.78731124175297
524,2023-01-01 10:15:13.885886,36.28544105600879,-97.72117022616168,11574.78,11811.0,247.71750548390563,192.65956298811955
525,2023-01-01 10:15:35.126126,36.27139649050246,-97.76341814050522,11574.78,11811.0,247.67387606134056,193.4504741658045
526,2023-01-01 10:15:56.366366,36.25757055779155,-97.80499113411491,11578.667547551791,11814.88754755179,247.61909502764257,193.89461115837565
527,2023-01-01 10:16:17.606607,36.24333273155972,-97.84778331032476,11582.4,11818.62,247.5785915223074,194.223561390368
528,2023-01-01 10:16:38.846847,36.229408577462536,-97.88950663161292,11590.02,11826.24,247.5785915223074,194.223561390368
529,2023-01-01 10:17:00.087087,36.215388667431405,-97.93153034258012,11590.02,11826.24,247.5785915223074,194.223561390368
530,2023-01-01 10:17:21.327327,36.200957106448186,-97.97465311976794,11586.918098130229,11823.138098130226,247.60209696213977,194.4171871324893
531,2023-01-01 10:17:42.567568,36.18653052947091,-98.0177280147841,11588.594220385552,11824.814220385551,247.52264119563057,194.8587993525904
532,2023-01-01 10:18:03.807808,36.1724385378713,-98.0597407618982,11582.4,11818.62,247.4964715002326,194.8955325212571
533,2023-01-01 10:18:25.048048,36.15843678090842,-98.10141477309676,11582.4,11826.148468523026,247.4964715002326,194.8955325212571
534,2023-01-01 10:18:46.288288,36.14426085554207,-98.1434929132388,11582.4,11819.71837863207,247.4384454119556,194.4203600680195
535,2023-01-01 10:19:07.528528,36.12986120629228,-98.1863777735544,11590.02,11826.24,247.45555519980027,193.5957244623392
536,2023-01-01 10:19:28.768769,36.11552270745278,-98.22887122509108,11590.02,11826.24,247.43134598027785,193.0222821378017
537,2023-01-01 10:19:50.009009,36.10119081070978,-98.27130907518988,11587.153918810489,11823.373918810486,247.403655485578,192.7977983987615
538,2023-01-01 10:20:11.249249,36.08727218584044,-98.3123514386773,11582.4,11821.636726745368,247.2626536100549,192.9960509368774
539,2023-01-01 10:20:32.489490,36.07320314695244,-98.3539095636942,11582.4,11822.437280871653,247.403655485578,192.7977983987615
540,2023-01-01 10:20:53.729730,36.058942582536595,-98.39604918183018,11574.908716253043,11818.62,247.32292556033133,193.45925259731865
541,2023-01-01 10:21:14.969970,36.04485553338936,-98.43763510633389,11581.437965471148,11818.62,247.2700878944573,193.05596559591652
542,2023-01-01 10:21:36.210210,36.030480988034554,-98.47990261657564,11582.4,11818.62,247.22866599152243,192.72359781468788
543,2023-01-01 10:21:57.450450,36.01635451645625,-98.5213953797228,11587.014714689254,11818.62,247.1440111898277,192.047533306268
544,2023-01-01 10:22:18.690691,36.002222601951644,-98.56266552900809,11583.866411370038,11826.24,247.1440111898277,192.047533306268
545,2023-01-01 10:22:39.930931,35.987547092371166,-98.6056091280719,11582.4,11822.482630690098,247.0842495418522,191.5735855821613
546,2023-01-01 10:23:01.171171,35.9733132027177,-98.6470310108416,11574.78,11812.48738740921,247.0519393643304,191.0607649821929
547,2023-01-01 10:23:22.411412,35.95935096087351,-98.68787808648165,11580.734997895786,11818.62,247.1663458220825,190.8996255418727
548,2023-01-01 10:23:43.651652,35.945266746564805,-98.72895137677688,11582.4,11818.62,247.15982210323216,190.8481423328091
549,2023-01-01 10:24:04.891892,35.93096570338197,-98.77078708087278,11582.4,11818.62,247.20603507204612,190.2861533894085
550,2023-01-01 10:24:26.132132,35.91721093180963,-98.81091298634593,11582.4,11818.62,247.08007013246964,189.9979098443603
551,2023-01-01 10:24:47.372372,35.90308033022757,-98.85208039673556,11582.4,11818.62,247.1062795046689,190.4256003963945
552,2023-01-01 10:25:08.612613,35.88849709536593,-98.8943362530954,11582.4,11818.62,247.04086980668615,190.5177697561571
553,2023-01-01 10:25:29.852853,35.8743073059828,-98.93541645353616,11582.4,11818.62,246.9638350739587,190.6263200508986
554,2023-01-01 10:25:51.093093,35.860562362282444,-98.97506892832668,11582.4,11818.62,246.91446290172476,190.24106234935064
555,2023-01-01 10:26:12.333333,35.84611002609563,-99.01677449528734,11582.4,11821.724444410802,246.9031780818391,190.1530053817346
