Unnamed: 0,time,lat,lon,baroaltitude,geoaltitude,heading,velocity
535,2023-02-01 10:12:51.790791,43.02543574509664,-97.1568245469359,10980.42,10828.02,244.2353034603192,197.6462782943794
536,2023-02-01 10:13:13.362362,43.008732733817894,-97.20383737796512,10972.8,10820.4,244.2353034603192,197.6462782943794
537,2023-02-01 10:13:34.933934,42.99217961543467,-97.25109615853788,10972.8,10827.51657687664,244.568710311036,197.6656931535268
538,2023-02-01 10:13:56.505506,42.97575828789485,-97.29783454514312,10972.8,10828.02,244.2999761635456,198.1097059601334
539,2023-02-01 10:14:18.077077,42.9591309601201,-97.34460638492364,10965.18,10827.432672114372,244.0324497761306,198.5580574098919
540,2023-02-01 10:14:39.648649,42.94201741231087,-97.39223288773375,10972.8,10828.02,243.9672984700453,198.0956786262605
541,2023-02-01 10:15:01.220220,42.925421702616326,-97.43877913317972,10966.858078894616,10822.078078894616,244.1660617777416,198.3333411869298
542,2023-02-01 10:15:22.791792,42.90868430463679,-97.4857851255411,10965.18,10820.4,244.1660617777416,198.3333411869298
543,2023-02-01 10:15:44.363363,42.89216552038432,-97.5320153970672,10965.18,10828.02,244.0324497761306,198.5580574098919
544,2023-02-01 10:16:05.934935,42.874685557365154,-97.58072473305376,10965.18,10828.02,243.972883462661,199.23130383697375
545,2023-02-01 10:16:27.506506,42.856079880606565,-97.62573779254016,10965.18,10828.02,235.20817883725925,201.0799326815227
546,2023-02-01 10:16:49.078078,42.830324740112694,-97.66572828777876,10972.8,10835.64,226.62838124923528,203.82016687407196
547,2023-02-01 10:17:10.649650,42.80248358011071,-97.70535619102344,10972.8,10835.64,226.2232115538631,204.4835628790568
548,2023-02-01 10:17:32.221221,42.77563433537876,-97.74379165461356,10972.8,10835.64,226.75275441765032,204.8161432475296
549,2023-02-01 10:17:53.792793,42.74828234124547,-97.78345021607907,10972.8,10835.64,226.7295424272493,204.8940748465278
550,2023-02-01 10:18:15.364364,42.72107290227414,-97.8224411986196,10980.42,10846.036456618309,226.6249763575248,205.2470387005667
551,2023-02-01 10:18:36.935936,42.693833822562056,-97.86200498371412,10973.288167877196,10843.748167877198,227.04441495814964,204.59051568937304
552,2023-02-01 10:18:58.507508,42.666357641755894,-97.90189794601248,10980.42,10850.88,226.9328717797158,204.9173233327613
553,2023-02-01 10:19:20.079079,42.639468895197915,-97.94102187878312,10980.42,10850.88,227.04648836092565,204.53868037337296
554,2023-02-01 10:19:41.650651,42.612490430293,-97.9800745600707,10972.8,10843.26,226.7357045889284,204.1668737872667
555,2023-02-01 10:20:03.222222,42.585648531156345,-98.01900222507936,10972.8,10850.88,227.0454084888872,203.8393062545887
556,2023-02-01 10:20:24.793794,42.55892977436168,-98.05775717300156,10965.18,10843.26,226.7357045889284,204.1668737872667
