Unnamed: 0,time,lat,lon,baroaltitude,geoaltitude,heading,velocity
0,2023-01-03 17:05:55.000000,40.64806404760328,-73.81564053622162,205.74,137.16,302.1443660270909,89.92180924554515
1,2023-01-03 17:06:16.217217,40.65199065197656,-73.83654638940658,527.4351951169967,466.4751951169968,262.80591312461155,87.52769065873451
2,2023-01-03 17:06:37.434434,40.644938105229805,-73.85660157633053,704.3503902339936,651.0103902339936,233.68355898137227,92.3422237174546
3,2023-01-03 17:06:58.651652,40.63203022671248,-73.87482458013521,835.5455853509903,782.2055853509903,223.23415442549484,105.8994787109972
4,2023-01-03 17:07:19.868869,40.61594402327319,-73.89349316354492,1008.1511707019806,962.4311707019806,221.0789301202928,117.88641390163204
5,2023-01-03 17:07:41.086086,40.59667071883716,-73.90937310847303,1266.2319511699675,1227.8039633774756,208.68929238453632,125.47260325091992
6,2023-01-03 17:08:02.303303,40.57550588446093,-73.92563634771334,1581.962341403961,1549.1711707019806,211.4072758748569,125.3734964108222
7,2023-01-03 17:08:23.520520,40.55515442509512,-73.94209871901528,1869.039548728466,1844.3527316379548,211.66815712158592,128.6018868236216
8,2023-01-03 17:08:44.737738,40.53409916946914,-73.95903998362006,2228.663121871948,2221.043121871948,211.6075022462489,125.6423496385838
9,2023-01-03 17:09:05.954955,40.51368658168558,-73.97548741138466,2499.016756052971,2506.2935121059418,211.3969122485905,128.3731068552506
10,2023-01-03 17:09:27.172172,40.492590736925074,-73.99238562395675,2806.783902339935,2814.4039023399355,211.48305276457012,127.8880972032364
11,2023-01-03 17:09:48.389389,40.47201063332777,-74.00895828514082,3086.7407194304465,3109.6007194304466,211.7277913735227,128.82960329926203
12,2023-01-03 17:10:09.606607,40.45035893021184,-74.02665871670087,3238.5,3268.98,212.0728511667527,137.57373518344045
13,2023-01-03 17:10:30.823824,40.42807893218399,-74.04657727802987,3329.94,3368.04,222.84939708285856,146.58257731379473
14,2023-01-03 17:10:52.041041,40.41137868268667,-74.07678184616583,3498.2054669094086,3543.925466909409,236.9597622219308,150.9663068723474
15,2023-01-03 17:11:13.258258,40.39560664858534,-74.10898035232591,3740.5618928575514,3793.901892857551,237.4859314134096,153.7369076301478
16,2023-01-03 17:11:34.475476,40.3796836669049,-74.14142733270967,4011.743123688698,4072.703123688698,237.1610606441407,153.6844946220741
17,2023-01-03 17:11:55.692693,40.36364581125963,-74.17381028505042,4262.516637611389,4331.096637611389,236.9441771884464,154.6757824415134
18,2023-01-03 17:12:16.909910,40.3476060490514,-74.20589268944242,4510.3535139226915,4585.867027845383,236.7300589828192,155.6692583230158
19,2023-01-03 17:12:38.127127,40.331076439800555,-74.23876600718027,4741.577418079377,4833.0174180793765,236.6221679635696,157.0942169982806
20,2023-01-03 17:12:59.344344,40.31452393034376,-74.27161780789739,4973.48780831337,5069.923904156685,236.6715782182364,158.2364851813796
21,2023-01-03 17:13:20.561562,40.29780083731748,-74.30493402341381,5166.360000000001,5273.040000000001,236.6673881362686,160.0913028810727
22,2023-01-03 17:13:41.778779,40.28103055752581,-74.33825145948504,5204.46,5318.76,236.7682889320207,160.5213670448244
23,2023-01-03 17:14:02.995996,40.26433711999019,-74.37138019284085,5204.46,5318.76,236.7196622282681,159.38000196174204
24,2023-01-03 17:14:24.213213,40.247412201180715,-74.40510831098008,5196.84,5311.14,236.83600925021497,161.0119992314704
25,2023-01-03 17:14:45.430430,40.23073497848876,-74.43810096631668,5196.84,5311.14,236.4621795368955,161.0875236844393
26,2023-01-03 17:15:06.647648,40.2135288784219,-74.47209013206884,5196.84,5313.8249251413345,236.6632940348639,161.9461214173384
27,2023-01-03 17:15:27.864865,40.20129435772106,-74.50813912050216,5211.050269975663,5318.76,258.9172202736405,160.80041278530098
28,2023-01-03 17:15:49.082082,40.198033566067544,-74.54819133116786,5373.350930185318,5480.656395277978,264.343784365484,161.8087902446109
29,2023-01-03 17:16:10.299299,40.194932588230586,-74.58806707093026,5572.500660209656,5689.081320419312,264.0568620470883,163.9600096437439
30,2023-01-03 17:16:31.516516,40.19163244775151,-74.6294269232448,5753.351710653305,5871.335855326653,264.1303995569853,166.0068621230209
31,2023-01-03 17:16:52.733734,40.18829950557119,-74.67135494854301,5918.71105044365,6048.25105044365,264.0591570556395,168.9938241718703
32,2023-01-03 17:17:13.950951,40.185018109474186,-74.71292146175718,6042.66,6179.82,264.20390480399095,173.1989701123972
33,2023-01-03 17:17:35.168168,40.18159940135463,-74.75662183936882,6143.001440677643,6280.1614406776425,264.1904789961817,177.8823571693643
34,2023-01-03 17:17:56.385385,40.178140549120386,-74.80091110570521,6274.196635794639,6418.976635794639,264.0546925269007,180.71139372193397
35,2023-01-03 17:18:17.602603,40.1744949209409,-74.84596550299102,6451.111832728387,6603.511832728386,263.9654307874291,181.0587101424485
36,2023-01-03 17:18:38.819820,40.17080935914419,-74.8910665428266,6582.307027845383,6734.707027845383,263.8901952381033,183.6709176307909
37,2023-01-03 17:19:00.037037,40.167015923376304,-74.93728298634232,6652.54222296238,6812.5622229623805,263.8844964337146,188.3293694539418
38,2023-01-03 17:19:21.254254,40.163176132639094,-74.98452917937274,6776.117418079377,6928.517418079377,263.9504736959985,190.375561186381
39,2023-01-03 17:19:42.471472,40.1593954261249,-75.03108577336785,6945.412613196374,7113.052613196374,263.9341127030035,189.8639897785111
40,2023-01-03 17:20:03.688689,40.15545540905096,-75.07867952085111,7094.22,7261.860000000001,263.9504736959985,190.375561186381
