,time,lat,lon,baroaltitude,geoaltitude,heading,velocity
458,1673300273.6886888,38.92115300691684,-95.78252312386758,9832.172191686632,9829.8,257.2626824462715,214.6612755406908
459,1673300293.8648648,38.912242657011205,-95.83132418164409,9761.220000000001,9753.6,256.6965695643759,214.623669259425
460,1673300314.0410411,38.90347750897367,-95.8799244803813,9765.186366727352,9761.220000000001,256.9330792160716,213.8880972029021
461,1673300334.2172172,38.894665995200846,-95.92802054982167,9767.184804883003,9761.220000000001,256.8615275359805,215.0068216166679
462,1673300354.3933933,38.88599257241669,-95.97600275977659,9768.84,9768.84,256.9235613722188,216.0089035953185
463,1673300374.5695696,38.87711794507764,-96.02537736715749,9768.84,9768.84,257.0155402332409,217.5124958663607
464,1673300394.7457457,38.86799484144618,-96.0754626863442,9768.84,9768.84,256.9319910854617,218.42132289399973
465,1673300414.921922,38.85905167860619,-96.12458046412937,9768.84,9768.84,256.8134890179935,218.7476139548372
466,1673300435.098098,38.849999284571076,-96.1741263038272,9768.84,9769.21375353098,256.8441573810349,219.2485248308144
467,1673300455.2742743,38.84098467665899,-96.22392169569692,9768.84,9776.460000000001,256.85678151013144,219.76559698643837
468,1673300475.4504504,38.83192956203056,-96.27328738644428,9768.84,9776.460000000001,256.6446590370925,220.4859211967781
469,1673300495.6266267,38.822736669292695,-96.32307742045258,9768.84,9776.460000000001,256.6754687381092,220.9864846349668
470,1673300515.8028028,38.81362993739409,-96.37213986570859,9709.382642655373,9719.04176177025,256.5513849483135,218.9846169062014
471,1673300535.9789789,38.8043587708721,-96.42200587394521,9578.50018099308,9593.82027148962,256.7133172537812,219.3661845024655
472,1673300556.1551552,38.79548806016396,-96.47060097218491,9469.295435028076,9486.9,256.9447527762034,218.6308318913671
473,1673300576.3313313,38.786210022924934,-96.52125656282092,9339.595255851746,9364.98,256.6823660270506,218.8655429107469
474,1673300596.5075076,38.77709026163575,-96.5699829030532,9212.58,9239.192792372705,256.4205469183109,219.1048340743623
475,1673300616.6836836,38.767783958297514,-96.6196227978308,9151.62,9174.480000000001,256.4884885537742,217.9840734967193
476,1673300636.85986,38.75867446662534,-96.66777085931972,9159.24,9182.1,256.4884885537742,217.9840734967193
477,1673300657.036036,38.74922224212566,-96.71827418632542,9159.24,9182.1,256.4884885537742,217.9840734967193
478,1673300677.2122123,38.74016189819964,-96.76632083624439,9159.24,9182.1,256.3888886463931,218.6048045914325
479,1673300697.3883884,38.7307129434339,-96.81649997166824,9159.24,9182.1,256.49327723162986,218.5088771207203
480,1673300717.5645645,38.721571419831335,-96.86492788395023,9159.24,9189.72,256.4884885537742,217.9840734967193
481,1673300737.7407408,38.71208784313785,-96.91499903590265,9159.24,9189.72,256.3422062941411,217.58925604861648
482,1673300757.9169168,38.70279527988193,-96.96394269823972,9151.62,9182.1,256.3251356703472,217.6049472269467
483,1673300778.0930932,38.693617508448924,-97.01194870449821,9151.62,9182.1,256.2930389959202,217.1051202738471
484,1673300798.2692692,38.68422439537528,-97.06124547668102,9151.62,9182.1,256.2930389959202,217.1051202738471
485,1673300818.4454455,38.67488516441616,-97.11000878754535,9159.24,9189.72,256.1612139221309,217.227595916306
486,1673300838.6216216,38.6655652845293,-97.15862879318277,9159.24,9189.72,256.1286834787188,216.7281198283129
487,1673300858.7977977,38.6561785081142,-97.207380414824,9159.24,9197.34,256.2930389959202,217.1051202738471
488,1673300878.973974,38.64684487835096,-97.25623648899449,9159.24,9197.34,256.2930389959202,217.1051202738471
489,1673300899.15015,38.63731490293564,-97.3052844712729,9159.24,9197.34,256.0295381099591,217.3512201743817
490,1673300919.3263264,38.628007923043235,-97.35329642769395,9159.24,9197.34,256.1612139221309,217.227595916306
491,1673300939.5025024,38.6184784182805,-97.40216675400734,9159.24,9197.34,256.03774515113184,217.47666043987493
492,1673300959.6786788,38.60888012031501,-97.45166628865896,9159.24,9197.34,256.0622027917457,217.8504824869874
493,1673300979.8548548,38.599521877932375,-97.49956943072684,9159.24,9197.34,256.0295381099591,217.3512201743817
494,1673301000.0310311,38.58991820867232,-97.54859078759463,9159.24,9197.34,256.0622027917457,217.8504824869874
