,time,lat,lon,baroaltitude,geoaltitude,heading,velocity
656,1673421566.1771772,39.70823979082293,-105.58254262566334,10971.449909806252,10866.12,255.3791260113683,195.651108553545
657,1673421587.4594595,39.69904383657163,-105.6287561366916,10972.8,10866.12,255.54226644086674,195.75076784738042
658,1673421608.7417417,39.68955399289478,-105.67659475296958,10965.18,10858.5,255.5999786932089,196.5182813548674
659,1673421630.024024,39.680000308676625,-105.72392731765791,10972.61693704605,10866.12,255.2334483539378,195.7815983070275
660,1673421651.3063064,39.67080399794213,-105.77005801005882,10970.4659455204,10863.785945520402,255.6371850111873,197.0166046425036
661,1673421672.5885885,39.66143388996389,-105.81753979906351,10980.42,10873.74,255.7453492817733,196.3909762686771
662,1673421693.8708708,39.652183627094985,-105.864580759232,10981.403964285852,10867.10396428585,255.59514984658253,196.45394403684455
663,1673421715.1531532,39.642584310982784,-105.9120642621201,10980.42,10873.74,255.1265842660411,196.410515212422
664,1673421736.4354355,39.632907764291296,-105.95897723888532,10980.42,10873.74,255.0204027293564,197.0401110101198
665,1673421757.7177176,39.62326797719609,-106.00596366613166,10972.8,10858.5,255.24425294720484,195.92203290807498
666,1673421779.0,39.61362677105402,-106.0531005859375,10972.8,10858.5,255.2717241907847,196.2790952275039
667,1673421800.2822824,39.60430193373759,-106.09929623826643,10965.18,10856.34900847435,255.2334483539378,195.7815983070275
668,1673421821.5645645,39.59472278803533,-106.14612219622359,10965.18,10850.88,255.0879656964657,195.9133520164866
669,1673421842.8468468,39.58509208061878,-106.1933898925164,10965.18,10858.5,255.1650078057413,196.9077671879414
670,1673421864.1291292,39.5754403757623,-106.24045707093325,10966.16396428585,10851.86396428585,255.1078676515722,196.4276478966561
671,1673421885.4114115,39.565778544975956,-106.28704081729347,10972.8,10858.5,255.1265842660411,196.410515212422
672,1673421906.6936936,39.55629969627428,-106.33342920125425,10967.5140544796,10853.214054479598,255.19152767827748,197.25276884020587
673,1673421927.975976,39.54667200148154,-106.38085821553246,10972.8,10858.5,255.3098064703286,196.7766792998068
674,1673421949.2582583,39.536894652170304,-106.4281234096194,10972.8,10858.5,254.9816393688493,196.5431938632036
675,1673421970.5405405,39.52716039293653,-106.4750036289334,10965.18,10850.88,254.9148979478225,197.6703792131441
676,1673421991.8228228,39.517253564109076,-106.52246714139372,10965.18,10850.88,254.9536081678015,198.1671408728405
677,1673422013.1051052,39.50718389100013,-106.57049542224553,10957.56,10843.26,254.783673287977,199.9255409540786
678,1673422034.3873873,39.49732804139464,-106.61752839294343,10965.18,10850.88,254.8606821757834,200.918539413369
679,1673422055.6696696,39.48715922925081,-106.66625858610176,10965.18,10850.88,255.0124380289432,202.9056092165563
680,1673422076.951952,39.47701688524004,-106.71491464696389,10972.8,10850.88,254.9099983600533,203.5359181976132
681,1673422098.2342343,39.46685749771132,-106.76345896939418,10988.04,10866.12,254.7702671080915,203.6704521789468
682,1673422119.5165164,39.45667051910832,-106.81151610585223,10988.04,10866.12,254.7321573843126,203.1741202386413
683,1673422140.7987988,39.44656009531327,-106.85972088182528,10972.8,10852.413153147696,254.8606821757834,200.918539413369
684,1673422162.0810812,39.43599861338367,-106.90617763303456,10980.42,10857.882161622047,251.396229042464,196.99517862405128
685,1673422183.3633633,39.42262345193185,-106.95179350261131,10972.8,10843.26,249.0920195289903,196.051091898718
686,1673422204.6456456,39.40952344713447,-106.99704575174836,10972.8,10850.88,249.7603086303817,196.2912299891464
687,1673422225.927928,39.39646418835406,-107.04284828157999,10972.8,10850.88,249.8636965717519,197.256908994568
688,1673422247.2102103,39.38375447676971,-107.0873654810538,10972.8,10843.26,249.8121294465294,196.7739894034333
689,1673422268.4924924,39.370680415862005,-107.13264778250868,10975.560938194045,10848.119061805955,249.75563166778468,197.19524208714677
690,1673422289.7747748,39.3573883486281,-107.17856223753866,10972.8,10850.88,249.7235294057752,197.4345995331424
691,1673422311.0570571,39.34384229386492,-107.2252854992741,10972.8,10850.88,249.7235294057752,197.4345995331424
692,1673422332.3393393,39.33029623925349,-107.27200876048612,10972.8,10850.88,249.7235294057752,197.4345995331424
693,1673422353.6216216,39.31675018449031,-107.31873202222155,10972.8,10850.88,249.7235294057752,197.4345995331424
694,1673422374.903904,39.303204129727135,-107.36545528395699,10972.8,10850.88,249.7235294057752,197.4345995331424
695,1673422396.186186,39.2896580751157,-107.41217854516901,10972.8,10850.88,249.7235294057752,197.4345995331424
696,1673422417.4684684,39.27611202035253,-107.45890180690445,10972.8,10850.88,249.7235294057752,197.4345995331424
