,time,lat,lon,baroaltitude,geoaltitude,heading,velocity
0,1673250271.0,40.62611389160156,-73.782470703125,129.54,129.54,210.6385853381866,77.72872616057556
1,1673250290.5285285,40.61371440720176,-73.79209592890402,362.167386803627,346.927386803627,210.3112132266816,77.46781924314081
2,1673250310.0570571,40.601447824865566,-73.80148215874975,503.3547754240036,480.4947754240036,209.92073241751802,86.69298806181452
3,1673250329.5855856,40.58688107051421,-73.81257313222159,575.9621622276306,553.1021622276306,210.11109244064465,104.7690918320495
4,1673250349.114114,40.56974641273793,-73.82564878966481,670.5600000000001,647.7,210.17863598857937,120.87387043687045
5,1673250368.6426427,40.551119417628804,-73.8396168386098,931.2646882581711,900.7846882581711,209.34181864827707,121.7825038573265
6,1673250388.1711712,40.53252894233546,-73.85314559000439,1290.3886489105225,1244.6686489105225,208.7474443180091,119.80019023782117
7,1673250407.6996996,40.51377102570941,-73.86621886888183,1529.3317112588882,1475.9917112588882,207.1981279485091,124.9336548274878
8,1673250427.2282283,40.4935427898368,-73.87971047528481,1746.7190998792648,1685.7590998792648,207.21597919942383,130.7387745198277
9,1673250446.7567568,40.47341766564957,-73.89357901909867,2099.4129733657837,2032.6864866828919,208.59782752986823,126.56032962227437
10,1673250466.2852852,40.455836884576286,-73.9114929331878,2343.687746973038,2275.107746973038,232.3037771285239,127.53050269489002
11,1673250485.813814,40.4445821190998,-73.93676289189983,2610.8225242137905,2542.2425242137906,241.5001117142362,128.19869937995261
12,1673250505.3423424,40.433468268627806,-73.96291544402168,2893.1972978210447,2814.388648910523,240.3684633217961,129.0218988104515
13,1673250524.8708708,40.42218083751134,-73.98867707867379,3146.0760357141494,3069.8760357141496,240.04390548285681,131.73951434424808
14,1673250544.3993993,40.40999818682943,-74.01615668716576,3203.4434225177765,3127.2434225177763,239.8019980834338,145.233654991325
15,1673250563.927928,40.39664254073937,-74.04641922341727,3283.6708111381527,3207.4708111381533,240.3182979541965,156.87406399949563
16,1673250583.4564564,40.38282518422963,-74.07841151776103,3428.3363958835603,3352.1363958835605,240.5241109967542,163.0974097271861
17,1673250602.9849849,40.368761105511744,-74.11118584692305,3627.005584745407,3550.805584745408,240.7388014374494,166.291983911319
18,1673250622.5135136,40.35430743239704,-74.14482817787211,3878.7859467315675,3794.9659467315673,240.6710914520094,166.9923577055559
19,1673250642.042042,40.33976766343588,-74.17875895911263,4084.640360169411,4000.820360169411,241.9908518200525,169.61340023791664
20,1673250661.5705705,40.33147036777543,-74.21518200918945,4329.235493946076,4245.415493946076,267.1988679157977,169.97438447813008
21,1673250681.0990992,40.331885861632436,-74.25377491954846,4771.630271186828,4673.325406780242,271.1052477012763,160.0218561238181
22,1673250700.6276276,40.33178889644114,-74.28877088754962,5137.825044794083,5038.765044794082,269.0355156977735,152.811518149601
23,1673250720.156156,40.33120823766512,-74.32440451295406,5361.264954600334,5254.584954600335,267.0034838323449,153.29706783430916
24,1673250739.6846848,40.33027566445526,-74.36003758898005,5512.07459564209,5405.394595642089,269.13141905498406,158.9816434217064
25,1673250759.2132132,40.329260261828566,-74.39532716474491,5757.974053874016,5643.674053874016,268.1500142016652,155.95796333111466
26,1673250778.7417417,40.32876243248029,-74.43223484698683,5987.3520714282995,5873.052071428299,268.492564241225,156.4451186278986
27,1673250798.2702703,40.328022518668156,-74.46700637426693,6246.958380146027,6132.6583801460265,268.58426618924074,153.35132361453907
28,1673250817.7987988,40.32729247916396,-74.50261475992441,6438.900000000001,6316.98,268.2804863884021,154.2991742725988
29,1673250837.3273273,40.326446808139735,-74.5387263482844,6591.3,6469.38,268.1221225527146,156.9897324295127
30,1673250856.855856,40.325507645858295,-74.5751793165453,6696.881622276306,6567.341622276307,267.9872386753933,161.120378574376
31,1673250876.3843844,40.32458331133781,-74.60996866814722,6853.309009079933,6723.769009079933,268.2625740425803,163.15394698719302
32,1673250895.9129128,40.323743536929975,-74.64910548576762,7047.836395883561,6915.381116706849,268.5543565794438,163.1306709895849
33,1673250915.4414415,40.3229211390544,-74.6876073233556,7218.75268765169,7081.5926876516905,268.38953283976474,164.13869136161674
34,1673250934.96997,40.3220685732753,-74.72437149121933,7345.527447538376,7200.747447538376,268.2374998103195,167.26313223602617
35,1673250954.4984984,40.3210695959631,-74.76420709471726,7458.069279055595,7313.289279055596,268.0951659271242,170.2460420020761
36,1673250974.0270271,40.32014341611648,-74.80272117839195,7620.205946731568,7475.425946731568,268.2747451245274,170.8728669414781
37,1673250993.5555556,40.31924386751705,-74.84208586727452,7845.213333535195,7692.813333535195,268.24539822354967,168.01616250067232
38,1673251013.084084,40.31833063283988,-74.8805512373358,8024.500720338822,7863.84,268.2430116900918,167.7876279019736
39,1673251032.6126127,40.31737002810406,-74.91898380347993,8142.828108959198,7982.808108959198,268.0908475670036,169.860808549341
40,1673251052.1411412,40.31632623047606,-74.95853658396632,8252.460000000001,8084.82,267.9484910235386,172.4492716232318
41,1673251071.6696696,40.31527747706189,-74.99753085040128,8374.380000000001,8206.740000000002,268.1304751129616,173.4599590870234
42,1673251091.198198,40.31420083424672,-75.03810292061891,8505.43026937008,8333.22513468504,267.9726772994998,174.5057442364974
43,1673251110.7267268,40.31315337859632,-75.07765229837969,8633.460000000001,8458.2,267.9770069632882,174.87937114076757
44,1673251130.2552552,40.31207830848883,-75.11813710230687,8755.380000000001,8580.12,267.9845579202596,175.5339919991533
45,1673251149.7837837,40.31100732976378,-75.15828635452239,8852.79243159771,8669.912431597711,268.0021201435233,177.0763775889751
