,time,lat,lon,baroaltitude,geoaltitude,heading,velocity
758,1674664611.4364364,38.331186990950386,-110.81090213638244,12196.294354519845,12142.954354519845,225.97939679003687,246.1011655077972
759,1674664628.6006007,38.30483623389554,-110.84509436539703,12192.0,12138.66,225.6720604317563,248.1060531733532
760,1674664645.7647648,38.27760310357553,-110.88051010464423,12186.172492332458,12132.83249233246,225.7549519365052,248.4743217879702
761,1674664662.9289289,38.25078537847064,-110.91537074106304,12184.38,12131.04,225.59403241557476,245.60752455103906
762,1674664680.0930932,38.224501936627775,-110.94923180651828,12192.0,12146.28,225.5146189111172,243.0060516512206
763,1674664697.2572572,38.198205348839174,-110.98322451132731,12199.62,12153.9,225.6012829579514,242.6458442901028
764,1674664714.4214215,38.171741061560176,-111.01746471238663,12192.0,12146.28,225.5976988196148,244.1008320076454
765,1674664731.5855856,38.14584813311586,-111.05080251549066,12192.0,12146.28,225.428211604886,243.3668133337675
766,1674664748.7497497,38.119020996599495,-111.08549483356755,12192.0,12146.28,225.53908331326653,241.6429621487165
767,1674664765.913914,38.092892162712815,-111.11900448054968,12192.0,12146.28,225.4307872170086,241.9117868515257
768,1674664783.078078,38.06690818943672,-111.15241331994814,12192.0,12138.66,225.5161642297648,242.27854740329
769,1674664800.2422423,38.04048727792579,-111.18641693097895,12192.0,12138.66,225.428211604886,243.3668133337675
770,1674664817.4064064,38.01458951715929,-111.21973530694405,12184.38,12131.04,225.4269353135871,244.0943267576596
771,1674664834.5705705,37.98759130542021,-111.25430264492563,12192.0,12138.66,225.31777388321987,243.62380849688736
772,1674664851.7347348,37.96134810090056,-111.28775824122026,12192.0,12138.66,225.2608287574529,239.7248321591585
773,1674664868.8988988,37.93558419765451,-111.32075573889567,12184.38,12145.509609160425,225.436032522147,239.0017353803667
774,1674664886.0630631,37.90990116317896,-111.35366765683015,12192.0,12153.9,225.4387033676728,237.5467104097434
775,1674664903.2272272,37.88408250782231,-111.3866168492228,12193.731471347808,12163.251471347809,225.1757533736399,237.1770961399379
776,1674664920.3913913,37.85850209203722,-111.41917592152426,12192.0,12161.52,225.4427715529782,235.3641739366043
777,1674664937.5555556,37.83308919265255,-111.45165626046013,12192.0,12169.14,225.3515034398733,237.1804436481814
778,1674664954.7197196,37.80684691665011,-111.4849396656729,12192.0,12169.14,225.0869434530131,239.7226241789043
779,1674664971.883884,37.78116255095826,-111.51765961623595,12192.0,12169.14,225.42714522715497,238.31617102567117
780,1674664989.048048,37.756068554932305,-111.54962649104594,12192.0,12169.14,225.1757533736399,237.1770961399379
781,1674665006.2122123,37.73011605257402,-111.5824716811245,12184.38,12161.52,225.1757533736399,237.1770961399379
782,1674665023.3763764,37.7037693275311,-111.61588483020252,12199.62,12173.892011904716,225.2624215826184,238.2697799645757
783,1674665040.5405405,37.67716196433685,-111.64948510038116,12192.0,12169.14,225.0,240.8136487027647
784,1674665057.7047048,37.65148797470046,-111.68197771602894,12192.0,12169.14,225.0,239.3585813390018
785,1674665074.8688688,37.62541866500273,-111.71462436240964,12191.000780467986,12168.140780467987,224.8242466263601,237.1770961399379
786,1674665092.0330331,37.60025862935072,-111.74625706060279,12199.62,12176.76,225.2656663163967,235.3596761380909
787,1674665109.1971972,37.57450069392871,-111.77887079883766,12172.198678672314,12149.338678672313,225.1762941498432,236.4495658914143
788,1674665126.3613613,37.54934382722105,-111.81086081285048,12091.25175226255,12123.42,225.0882831034976,236.0849600221724
789,1674665143.5255256,37.52355613449946,-111.84380644782794,12000.094436018684,12123.42,225.0882831034976,236.0849600221724
790,1674665160.6896896,37.49847990718609,-111.87899191967179,11914.247567796709,11961.904985876083,228.6964120428633,235.3338346854052
791,1674665177.853854,37.47572180405985,-111.91500759281314,11827.353632969856,11818.62,233.58209687309275,230.75481214382245
792,1674665195.018018,37.455140191168546,-111.95042825688972,11746.16135139227,11719.56,233.8579587636283,226.7852141030665
793,1674665212.182182,37.43442511530871,-111.98575750106497,11654.09588629961,11623.61588629961,233.6267230423451,225.5407218078399
794,1674665229.3463464,37.41356596139297,-112.02138784963446,11590.02,11559.54,233.621123175023,228.1128462745184
795,1674665246.5105104,37.392814283321854,-112.05678245450534,11579.724991041183,11559.54,233.73650380315763,229.91351808827494
796,1674665263.6746747,37.37200733625542,-112.09221967323268,11582.914102159022,11567.16,233.53971667682,230.2710189389286
797,1674665280.8388388,37.35091013381376,-112.12810318294568,11588.80098057601,11568.37901942399,233.57717215110063,230.05841223749076
798,1674665298.0030031,37.32971137184938,-112.16424459063455,11586.13177788209,11571.04822211791,233.65918581789236,229.59288201782826
