,time,lat,lon,baroaltitude,geoaltitude,heading,velocity
396,1674194783.2252252,43.33207166517241,-93.03589960524326,10972.8,10728.96,264.6441749571448,214.947114511164
397,1674194803.6626627,43.328049622479746,-93.08963778055966,10972.8,10731.530509886741,264.05259896843904,215.1669922985733
398,1674194824.1001,43.32410079903577,-93.14343073175613,10972.037237691879,10736.58,264.3712384367278,215.0455915784772
399,1674194844.5375376,43.32039867522085,-93.19591582854144,10972.8,10736.58,264.5076754428725,214.9957432005974
400,1674194864.9749749,43.31658246118956,-93.25038598150319,10972.8,10736.58,264.5207662348932,215.5078310281265
401,1674194885.4124124,43.31276452295775,-93.30436416156115,10972.8,10736.58,264.5207662348932,215.5078310281265
402,1674194905.84985,43.308924816078225,-93.35821929915775,10980.42,10744.2,264.5207662348932,215.5078310281265
403,1674194926.2872872,43.30521228678832,-93.4122769793508,10980.42,10744.2,264.6569442414248,215.4593179158093
404,1674194946.7247248,43.30154699003778,-93.46596022585926,10980.42,10744.2,264.5076754428725,214.9957432005974
405,1674194967.162162,43.2976004110933,-93.52009617982243,10980.42,10744.2,264.2210674632369,214.5848230671114
406,1674194987.5995996,43.29367244524548,-93.57375889921147,10980.42,10744.2,264.2210674632369,214.5848230671114
407,1674195008.0370371,43.289756559363504,-93.62695501780806,10980.42,10744.2,264.2072035049678,214.0729998416189
408,1674195028.4744744,43.28574068329575,-93.68094838253457,10972.8,10740.584504842758,264.0702512322242,214.1255349897959
409,1674195048.911912,43.2817249073752,-93.73437150362457,10972.8,10744.2,264.0702512322242,214.1255349897959
410,1674195069.3493493,43.277736536270204,-93.78763059744436,10972.8,10744.2,264.2072035049678,214.0729998416189
411,1674195089.7867868,43.27370644052403,-93.84152779403458,10965.18,10736.58,264.2072035049678,214.0729998416189
412,1674195110.2242243,43.269703816346016,-93.8947427057716,10966.88858938694,10744.2,264.0559961595334,213.6138502306694
413,1674195130.6616616,43.265466207481886,-93.94829346928866,10972.8,10744.2,263.7816491751897,213.7228482710699
414,1674195151.0990992,43.261204990822485,-94.0015392402861,10972.8,10744.2,263.9187876793288,213.6677368933028
415,1674195171.5365365,43.25711397413546,-94.05458919458523,10972.8,10744.2,263.9109278366535,213.39327589736726
416,1674195191.973974,43.25285286931485,-94.10842975434089,10965.18,10736.58,263.9187876793288,213.6677368933028
417,1674195212.4114115,43.24872279810006,-94.16179261384373,10965.18,10736.58,263.9333669263949,214.1792929146073
418,1674195232.8488488,43.24458980983147,-94.214535864095,10965.18,10736.58,263.9333669263949,214.1792929146073
419,1674195253.2862864,43.24024825289543,-94.26840414549096,10965.18,10736.58,263.5231368950696,214.347894044134
420,1674195273.7237236,43.236003517518284,-94.32210140294265,10972.8,10751.82,263.9478766949345,214.69086273746
421,1674195294.1611612,43.23180627950994,-94.37613253277138,10979.19195177555,10744.2,263.8113840367584,214.7457115449526
422,1674195314.5985985,43.22749360691523,-94.42850818995623,10980.42,10759.44,263.3865395176853,214.4065336712555
423,1674195335.036036,43.222859975459876,-94.4825254543989,10980.42,10751.82,263.3706686605688,213.895521123346
424,1674195355.4734735,43.21843199399883,-94.53572277859566,10980.42,10759.44,263.644582163693,213.7791834167915
425,1674195375.9109108,43.214097123258405,-94.58914209490905,10980.42,10759.44,263.644582163693,213.7791834167915
426,1674195396.3483484,43.20973450442416,-94.64262307987306,10972.8,10751.82,263.629283068106,213.2679086110073
427,1674195416.7857857,43.205384624198516,-94.69495042601403,10972.8,10751.82,263.4919649060732,213.325604505935
428,1674195437.2232232,43.20090125381201,-94.74875290752226,10972.8,10751.82,263.4762666090496,212.8144835861593
429,1674195457.6606607,43.1964430250373,-94.8018613154526,10972.8,10751.82,263.3386983602298,212.8735456176074
430,1674195478.098098,43.19189000030234,-94.85521645166419,10972.8,10751.82,263.1847805813558,212.4230164561203
431,1674195498.5355356,43.18731597497205,-94.90838390170985,10972.8,10751.82,263.4604927258317,212.3033787190468
432,1674195518.9729729,43.18287122575566,-94.96142854294087,10972.8,10751.82,263.3225978219588,212.3625828984262
433,1674195539.4104104,43.17845506328938,-95.01336613624255,10968.307327280045,10747.327327280045,263.3225978219588,212.3625828984262
434,1674195559.847848,43.17383059472146,-95.06692500978326,10966.339398708344,10750.660601291656,263.1847805813558,212.4230164561203
435,1674195580.2852852,43.16924685357909,-95.11955349593858,10970.62612651348,10746.37387348652,263.3225978219588,212.3625828984262
436,1674195600.7227228,43.16424339667102,-95.17213498213094,10972.8,10753.93285250187,261.16113588357075,212.41623098023973
437,1674195621.16016,43.156107722141314,-95.22519766775413,10972.8,10759.44,256.1382774249021,212.92525286007387
438,1674195641.5975976,43.14516112181445,-95.27585934124394,10980.42,10767.06,252.4397279481993,213.1375701071831
439,1674195662.0350351,43.13358510787657,-95.32685956613803,10972.8,10759.44,253.049518093823,213.5097547389252
440,1674195682.4724724,43.12220553380615,-95.37778255340103,10972.8,10759.44,253.1816654027216,213.3603385942529
441,1674195702.90991,43.1107228130714,-95.42971068219973,10972.8,10759.44,253.1816654027216,213.3603385942529
442,1674195723.3473473,43.09958625273084,-95.48026812703549,10965.18,10751.82,253.2215450613836,213.8528300612768
443,1674195743.7847848,43.08821627630712,-95.53161948396468,10965.18,10751.82,253.0896739504898,214.0019023486453
444,1674195764.2222223,43.07662705238218,-95.58311825730406,10965.18,10751.82,252.8264855998606,214.3034406906653
445,1674195784.6596596,43.06486541289102,-95.6344024437034,10965.18,10751.82,252.6051023648844,215.1003499330727
446,1674195805.0970972,43.05307309569381,-95.68587085569864,10965.18,10752.559880347251,252.5155726767793,215.7453262574259
447,1674195825.5345345,43.041368914127816,-95.7374597550563,10972.8,10767.06,252.8169827254503,215.9298641765263
448,1674195845.971972,43.0295990870859,-95.78874984869412,10972.8,10767.06,252.5565270153685,216.236057487786
449,1674195866.4094095,43.017713804438486,-95.84091346547174,10980.42,10774.68,252.727165304455,216.57359213243
450,1674195886.8468468,43.00607258566379,-95.89231082963148,10979.2529727602,10774.68,252.8972710309476,216.9130417262728
451,1674195907.2842844,42.994211557692324,-95.94442876284603,10972.8,10767.06,252.6782819740804,217.7089080796294
452,1674195927.7217216,42.98217545107591,-95.99677911884751,10972.8,10767.06,252.5491238777132,217.8626305092177
453,1674195948.1591592,42.970102577820235,-96.0488941473683,10972.8,10767.06,252.4608913265143,218.5079315947058
454,1674195968.5965965,42.9580252312106,-96.10069932748179,10980.42,10774.68,252.3323594921677,218.6635129496565
455,1674195989.034034,42.945767458434986,-96.15321916993418,10988.04,10782.3,252.4201485733447,218.0174584587794
456,1674196009.4714715,42.93379937198317,-96.2047653106456,10988.04,10782.3,252.5491238777132,217.8626305092177
457,1674196029.9089088,42.92171777556531,-96.25691772247524,10988.04,10789.225885391235,252.34185561595098,217.08150267646946
458,1674196050.3463464,42.90962911151291,-96.30859483703482,10988.04,10789.92,252.255328374943,216.0566808444586
459,1674196070.7837837,42.89766590021827,-96.35958726089589,10988.04,10789.92,252.3023520754572,214.9200254071116
460,1674196091.2212212,42.88574342392938,-96.41072221063988,10980.42,10782.3,252.3979074397922,212.6471557928911
461,1674196111.6586587,42.87416553205912,-96.46045044658442,10972.8,10774.68,252.3620044377026,210.5301966872703
462,1674196132.096096,42.86241326049479,-96.51060479933676,10972.8,10774.68,252.2286791770912,210.6866446214273
463,1674196152.5335336,42.85052783494029,-96.56080570866197,10972.8,10774.68,252.005779249839,211.4921768063192
464,1674196172.9709709,42.838637664204725,-96.61102378019064,10972.8,10774.68,252.271280795741,211.1765989052547
465,1674196193.4084084,42.82677150417294,-96.66170821557301,10972.8,10774.68,252.2767633831137,209.5499086762987
466,1674196213.845846,42.815056551928315,-96.71125741763848,10972.8,10774.68,252.1907212463252,208.5700888342875
467,1674196234.2832832,42.803390868759905,-96.76018782335716,10972.8,10774.68,251.968851864666,207.7494053231634
468,1674196254.7207208,42.79149809068659,-96.80964980025699,10967.308107748031,10776.808107748031,251.7576576491891,207.06832207245992
469,1674196275.158158,42.77984362541974,-96.858100984611,10965.18,10774.68,251.8806030272266,206.7712929405135
470,1674196295.5955956,42.767929856123374,-96.90762537801757,10962.098438458443,10767.06,251.9248315629399,207.2602876712775
471,1674196316.0330331,42.75611409350084,-96.9569268023996,10957.56,10767.06,252.0601320010925,207.101251422887
472,1674196336.4704704,42.74454072652033,-97.00539789904445,10957.56,10767.06,252.0601320010925,207.101251422887
473,1674196356.907908,42.73277246908265,-97.05458622011915,10965.18,10774.68,251.9248315629399,207.2602876712775
474,1674196377.3453453,42.72066490934958,-97.10390020623724,10965.18,10774.68,251.565051177078,208.2322903817807
475,1674196397.7827828,42.708573255203795,-97.15348949521776,10972.8,10774.68,251.8781397520986,208.398083229781
476,1674196418.2202203,42.69664820898902,-97.2030307173757,10972.8,10782.3,251.9220296078103,208.887070616902
477,1674196438.6576576,42.684778315751124,-97.251650325871,10972.8,10782.3,251.6389412125228,209.041489046565
478,1674196459.0950952,42.6727029774116,-97.3014062690734,10980.42,10789.92,251.8319550516205,209.5360156832331
479,1674196479.5325325,42.660662366202594,-97.35069422094297,10980.42,10789.92,251.6984003067792,209.6969916065412
480,1674196499.96997,42.64853455371467,-97.40033198059125,10980.42,10789.92,251.565051177078,209.8591051503884
481,1674196520.4074075,42.63644785611386,-97.44967320206028,10980.42,10789.92,251.7424369246102,210.1854754173423
482,1674196540.8448448,42.624251983071275,-97.4994933905548,10980.42,10789.92,251.6534705197167,210.8354450630653
483,1674196561.2822824,42.6119655411211,-97.54936865651722,10980.42,10789.92,251.5208755655438,210.997938202929
484,1674196581.7197196,42.599713262492116,-97.5990751547397,10980.42,10795.404263720513,251.6973737582518,211.3238020030819
485,1674196602.1571572,42.587316014731186,-97.64951188876447,10980.42,10789.92,251.565051177078,211.485919918996
486,1674196622.5945945,42.57494498594315,-97.69946911385803,10980.42,10793.009190073013,251.4329320119099,211.6491640904554
487,1674196643.032032,42.56284714891808,-97.74818589114479,10988.04,10797.784083938599,251.39272611311634,211.15631849880734
488,1674196663.4694695,42.550348403452084,-97.79824236736562,10988.04,10805.16,251.1662470873412,210.3522451107552
489,1674196683.9069068,42.53797695684101,-97.84774198712282,10988.04,10797.54,251.39128456832213,209.58014495847473
490,1674196704.3443444,42.52561804594086,-97.89709300845867,10988.04,10797.54,251.1631388172079,208.7254700569169
491,1674196724.7817817,42.51317337392674,-97.94601533110126,10988.04,10797.54,251.1174370062174,208.2386450300078
492,1674196745.2192192,42.501036481621036,-97.99425876571588,10980.42,10795.869549636842,251.1599817157158,207.0986956270109
493,1674196765.6566567,42.48882364176344,-98.04326474451699,10972.8,10789.92,251.96963694571286,206.6666135530174
494,1674196786.094094,42.47760563673709,-98.09204803122108,10965.18,10782.3,253.0546766226209,206.5125853843313
495,1674196806.5315316,42.46665028434925,-98.14132719215576,10957.56,10774.68,253.3690462932786,206.7079267323999
496,1674196826.9689689,42.45563064901944,-98.19053837330348,10957.56,10774.68,253.13619989351946,207.48174346122366
497,1674196847.4064064,42.44450267512939,-98.23948337711076,10957.56,10774.68,252.730532237878,207.9499482815657
498,1674196867.843844,42.43318047185374,-98.28884824682082,10971.610090799331,10788.730090799332,252.80776933030748,208.85593821100733
499,1674196888.2812812,42.42172223350681,-98.3388300284029,10972.8,10789.92,252.8180773507869,209.46702400784818
500,1674196908.7187188,42.41030921530737,-98.38787380179188,10972.8,10789.92,252.4532866723177,209.8843255693174
501,1674196929.156156,42.39858060274855,-98.43780798737664,10972.8,10789.92,252.3620044377026,210.5301966872703
502,1674196949.5935936,42.38680331756645,-98.48782830086513,10972.8,10789.92,252.404327930056,211.0205142173053
503,1674196970.0310311,42.37531805563406,-98.53716281459931,10972.8,10790.156457223893,252.5794201103712,211.3563607506357
504,1674196990.4684684,42.363578177809956,-98.58759254972385,10976.369729418755,10797.05945883751,252.6210749830755,211.8472646592932
505,1674197010.905906,42.35223388514726,-98.63599750746063,10972.8,10797.54,252.3558936121571,212.1568552926727
506,1674197031.3433433,42.340119835726036,-98.68741050064112,10980.42,10805.16,252.3979074397922,212.6471557928911
507,1674197051.7807808,42.32830332442171,-98.73744521032866,10973.356816787718,10805.16,252.2658820273404,212.8032910382714
508,1674197072.2182183,42.31643369743688,-98.78761778909725,10980.42,10805.16,252.3979074397922,212.6471557928911
509,1674197092.6556556,42.30459416253883,-98.83749784548746,10980.42,10805.16,252.13697984529858,212.4166995720956
510,1674197113.0930932,42.2923682959954,-98.88815946372254,10980.42,10805.16,251.92885960474354,212.12582496663322
511,1674197133.5305305,42.280664355166046,-98.93706367462451,10980.42,10805.16,252.1811110854772,211.8235273611443
512,1674197153.967968,42.26854029932293,-98.98768275809495,10972.8,10797.54,252.1811110854772,211.8235273611443
513,1674197174.4054055,42.25672789570203,-99.03715323873558,10972.8,10800.629190073014,252.1274446482282,211.8875775287897
514,1674197194.8428428,42.2451285265573,-99.08559023326534,10965.18,10791.117537732125,252.0487339114697,211.9815177294682
515,1674197215.2802804,42.232765364301564,-99.13645087578533,10965.18,10789.92,251.9165546169513,212.1406379723568
516,1674197235.7177176,42.22072403857749,-99.1859523309591,10965.18,10797.54,252.05425564512925,212.5157906890946
517,1674197256.1551552,42.208512324111744,-99.23702101730115,10965.18,10797.54,252.2658820273404,212.8032910382714
518,1674197276.5925925,42.196564611579454,-99.28715136597107,10972.8,10805.16,252.1340509075481,212.9605545444758
519,1674197297.03003,42.184317672257194,-99.33755755944644,10972.8,10805.16,251.8278740103145,212.7896104580255
520,1674197317.4674675,42.17229848709709,-99.38683365704638,10972.8,10805.16,251.8278740103145,212.7896104580255
521,1674197337.9049048,42.16014595480657,-99.4368612647579,10972.8,10805.16,251.9595835913642,212.6297312070687
522,1674197358.3423424,42.147996022604744,-99.48695590030316,10972.8,10805.16,251.8278740103145,212.7896104580255
523,1674197378.7797797,42.13594208411623,-99.5364659290117,10972.8,10805.16,251.7845741623376,212.3008855492753
524,1674197399.2172172,42.12374782091995,-99.58625898516325,10980.42,10812.78,251.8733268007459,211.6516649372384
525,1674197419.6546547,42.11153345806544,-99.63609006123035,10985.40846912861,10812.78,251.6973737582518,211.3238020030819
526,1674197440.092092,42.09937146622542,-99.68516606748214,10988.04,10820.4,251.6093634493823,210.3472124894983
527,1674197460.5295296,42.08716351847398,-99.73414403127127,10988.04,10820.4,251.3421115258805,209.0472802647334
528,1674197480.9669669,42.07500323215553,-99.78280000884907,10980.671712470055,10813.031712470056,251.4308692689622,208.3955433384558
529,1674197501.4044044,42.063104552005946,-99.83049988521257,10974.536919779777,10812.78,251.5201837003345,207.7443096479298
530,1674197521.841842,42.05092570633219,-99.88024892138729,10972.8,10805.401032889366,251.86920238264076,206.80207102822874
531,1674197542.2792792,42.0391675151799,-99.92803532722876,10965.18,10797.54,251.5198295767498,206.1174953820586
532,1674197562.7167168,42.02702318103905,-99.97597515982369,10965.18,10797.54,250.87712382427037,205.27285242868984
533,1674197583.154154,42.01461659112465,-100.02379102632736,10965.18,10791.094653954506,250.99534941175753,205.12648006023872
534,1674197603.5915916,42.00250065899758,-100.07183320168933,10957.56,10793.032072033882,251.382871252041,204.6543324286224
535,1674197624.0290291,41.990643017219554,-100.1197309441953,10957.56,10789.92,251.7015777959963,204.8165608336353
536,1674197644.4664664,41.978915515268454,-100.16717621765237,10957.56,10797.54,251.7015777959963,204.8165608336353
537,1674197664.903904,41.96694754764351,-100.21538811775063,10965.18,10805.16,251.565051177078,204.9786608445654
538,1674197685.3413413,41.955027583175244,-100.26291405910095,10965.18,10805.16,251.4287410944061,205.1419228651296
539,1674197705.7787788,41.94278398575989,-100.31172575082978,10965.18,10805.16,251.3385868247368,205.7936757470657
540,1674197726.2162163,41.93101375638644,-100.35834374652121,10965.18,10805.16,251.2490020133686,206.4459349289556
541,1674197746.6536536,41.9186205294995,-100.40696890445206,10965.18,10805.16,251.1599817157158,207.0986956270109
542,1674197767.0910912,41.90638080600381,-100.45513360816543,10965.18,10805.16,251.2058346955275,207.5856442205001
543,1674197787.5285285,41.89387470971269,-100.50403941310246,10972.8,10812.78,251.1174370062174,208.2386450300078
544,1674197807.965966,41.88146228782113,-100.55240180419142,10972.8,10812.78,251.0295921915135,208.8921384158429
545,1674197828.4034035,41.86900416644494,-100.60101570825775,10972.8,10812.78,251.0753555839487,209.378708
546,1674197848.8408408,41.856614722579,-100.6490536137916,10972.8,10812.78,250.8555421888033,210.2005845365647
547,1674197869.2782784,41.84395074698841,-100.69795494494346,10972.8,10812.78,250.9014231770647,210.6866446214273
548,1674197889.7157156,41.8315143233226,-100.74623458462891,10975.526876614093,10815.506876614094,251.0791310043118,211.0054638094395
549,1674197910.1531532,41.81853918126217,-100.79688032374015,10980.42,10820.4,250.9925528333907,211.659167300296
550,1674197930.5905905,41.80598995003601,-100.84536280554414,10980.42,10820.4,250.9065079995144,212.3133511053631
551,1674197951.028028,41.79326330643479,-100.8945927542842,10980.42,10820.4,250.99526551470774,212.19996875328832
552,1674197971.4654655,41.780586298545764,-100.94379666578835,10980.42,10820.4,250.9518170152536,212.7995600581552
553,1674197991.9029028,41.767725191354884,-100.99291039904588,10980.42,10827.497507478298,250.65663924711887,212.6737932059797
554,1674198012.3403404,41.75518317380958,-101.04070805157401,10980.42,10828.02,250.6445402009286,212.6521339837416
555,1674198032.7777777,41.74264946116724,-101.08847612307684,10980.42,10828.02,250.6445402009286,212.6521339837416
556,1674198053.2152152,41.72878652401376,-101.14144624991954,10980.42,10828.02,250.6445402009286,212.6521339837416
557,1674198073.6526527,41.716057854675455,-101.18987487263934,10980.42,10824.831651735305,250.72065729654076,212.55329612116157
