,time,lat,lon,baroaltitude,geoaltitude,heading,velocity
0,1674444626.0,40.64108276367188,-73.7706298828125,236.22,137.16,31.1452631461667,83.55083721136654
1,1674444645.5465465,40.65378146849142,-73.76110735083421,529.9446840190888,446.12468401908876,30.18862876234042,89.33086789439965
2,1674444665.0930932,40.66724468798893,-73.74724882526607,693.7746849274636,609.9546849274635,50.77832802883357,101.25820502329152
3,1674444684.6396396,40.67328969873692,-73.72497886642287,812.5940538740158,726.3370269370079,77.16363670437399,112.00588339012103
4,1674444704.186186,40.6770477644231,-73.69723922741451,1046.0681068396568,947.7174757862092,80.82557302857535,119.38276560992878
5,1674444723.7327328,40.68050973026784,-73.6684326704364,1196.164564971924,1110.4834237289429,80.99387459220641,135.54030535343512
6,1674444743.2792792,40.684575673687505,-73.63598742792965,1457.5481077480317,1360.6162154960632,80.31393169711752,144.56199139279238
7,1674444762.825826,40.693645911325525,-73.60430068391163,1757.56558716774,1658.50558716774,57.93387644784451,155.75502244077106
8,1674444782.3723724,40.712068918607656,-73.57664127748285,2098.0743246066572,2006.634324606657,45.89297299126188,159.93370918377937
9,1674444801.9189188,40.731938598372665,-73.55088082590176,2412.5331878929137,2316.3976202173235,44.36307449529594,163.62063679260032
10,1674444821.4654655,40.75324712537695,-73.52323804507031,2727.4336949157714,2635.9936949157714,45.12109928287952,166.60214842062754
11,1674444841.012012,40.77425876953942,-73.49485705077478,3002.4630629539492,2918.643062953949,45.599821154523106,172.07121793238278
12,1674444860.5585585,40.79906598868522,-73.47391960528726,3277.492430992126,3197.036215496064,22.243604621323847,172.12741112712598
13,1674444880.1051052,40.82936430547007,-73.468306412056,3406.940901331902,3330.7409013319016,357.3800023575915,178.23098293796596
14,1674444899.6516516,40.86000487179262,-73.47881530210725,3601.60558535099,3530.3711707019806,338.4071999678302,181.6673540547813
15,1674444919.198198,40.89002383296839,-73.49658106892093,3773.4102693700793,3704.8302693700793,334.5288432764989,190.43639693191835
16,1674444938.7447448,40.92049799513386,-73.5168749460711,4080.429910411835,4011.8499104118346,330.5830979739105,191.65519346884253
17,1674444958.2912912,40.94749780595885,-73.54221799917286,4281.478917675019,4223.699639225006,321.7978843376843,194.89437257821092
18,1674444977.837838,40.97270173990583,-73.57268527936208,4539.048650121689,4470.468650121689,313.3562056951845,194.75969405654408
19,1674444997.3843844,40.99469655845018,-73.60862212061626,4852.178018159867,4788.289009079934,306.3195815749287,192.822505330831
20,1674445016.9309309,41.01504392867718,-73.64553273952333,5080.961079297066,5020.527386198044,306.0849075135758,197.33794738679433
21,1674445036.4774776,41.0334150844956,-73.67884830413954,5204.46,5151.12,306.2357345977678,203.3473900662565
22,1674445056.024024,41.05705117937514,-73.72142932336087,5227.50306295395,5181.6,306.207381710182,204.6595050390726
23,1674445075.5705705,41.07766069141143,-73.75875866136266,5424.341620459557,5368.827746973037,306.0382910258848,198.4934025537467
24,1674445095.1171172,41.0978932121506,-73.79537031607803,5609.212432808877,5555.872432808876,306.0710168138842,201.8327801833034
25,1674445114.6636636,41.11971715974506,-73.83475180495589,5907.99423365593,5854.65423365593,306.7427194191654,201.80032601220645
26,1674445134.2102103,41.1405571980336,-73.87156887355376,6187.035736885071,6139.309671106338,305.7786719151384,201.31574239618703
