Unnamed: 0,timestamp,lat,lon,baroaltitude,geoaltitude,heading,velocity,altitude,TAS,vertical_rate
707,2023-01-28 03:53:29.366366,38.25782704349115,-108.08516838792669,11582.4,11503.40828813553,252.9300990140894,198.0395593550724,11582.4,198.0395593550724,-12.631349272729494
708,2023-01-28 03:53:49.180180,38.24738570047388,-108.12831955414168,11582.4,11506.2,253.0290104719381,197.3970631635149,11582.4,197.3970631635149,0.0
709,2023-01-28 03:54:08.993994,38.23732184286058,-108.1700356576467,11582.4,11506.2,253.12770725046673,196.75605951891976,11582.4,196.75605951891976,0.0
710,2023-01-28 03:54:28.807808,38.2269442236264,-108.21314697688123,11582.4,11506.2,252.8422846951289,197.0562280415912,11582.4,197.0562280415912,0.0
711,2023-01-28 03:54:48.621622,38.21650470030085,-108.25564478521012,11574.78,11498.58,252.6549138628102,196.7174930830887,11574.78,196.7174930830887,-22.859999999996944
712,2023-01-28 03:55:08.435436,38.20622876205485,-108.29760899998053,11574.78,11498.58,252.6549138628102,196.7174930830887,11574.78,196.7174930830887,0.0
713,2023-01-28 03:55:28.249249,38.1957955854965,-108.34006641144026,11574.78,11498.58,252.6549138628102,196.7174930830887,11574.78,196.7174930830887,0.0
714,2023-01-28 03:55:48.063063,38.18533695652594,-108.38287322629344,11574.78,11498.58,252.8422846951289,197.0562280415912,11574.78,197.0562280415912,0.0
715,2023-01-28 03:56:07.876877,38.1750360600674,-108.42539701088282,11574.78,11498.58,252.985316723477,196.9050790823437,11574.78,196.9050790823437,0.0
716,2023-01-28 03:56:27.690691,38.16468238797646,-108.46786455165667,11582.4,11506.2,252.7980481138561,196.5647372701451,11582.4,196.5647372701451,22.859999999996944
717,2023-01-28 03:56:47.504504,38.154281217828576,-108.51021198477848,11582.4,11506.2,252.6549138628102,196.7174930830887,11582.4,196.7174930830887,0.0
718,2023-01-28 03:57:07.318318,38.143907911317584,-108.55248939822876,11582.4,11508.625585956574,252.6549138628102,196.7174930830887,11582.4,196.7174930830887,0.0
719,2023-01-28 03:57:27.132132,38.13338550263536,-108.59521464826196,11589.013153753282,11512.81315375328,252.5568823248113,197.3622015707811,11589.013153753282,197.3622015707811,19.839461259845848
720,2023-01-28 03:57:46.945946,38.12300115453319,-108.6370128883452,11582.4,11506.2,252.4145144930725,197.5170204468365,11582.4,197.5170204468365,-19.839461259845848
721,2023-01-28 03:58:06.759760,38.11236435270609,-108.6795508989605,11582.4,11506.2,252.4145144930725,197.5170204468365,11582.4,197.5170204468365,0.0
722,2023-01-28 03:58:26.573574,38.101755228119146,-108.72233605237696,11579.150630750655,11502.950630750656,252.6015393717846,197.8530489682236,11579.150630750655,197.8530489682236,-9.748107748033362
723,2023-01-28 03:58:46.387387,38.09115889268287,-108.76505592338827,11574.78,11498.58,252.6459753637387,198.3440159632684,11574.78,198.3440159632684,-13.111892251963582
724,2023-01-28 03:59:06.201201,38.080506657221854,-108.8080560204605,11582.4,11506.2,252.5042421228136,198.4980690731466,11582.4,198.4980690731466,22.859999999996944
725,2023-01-28 03:59:26.015015,38.06995329979691,-108.85040932537136,11582.4,11506.2,252.5042421228136,198.4980690731466,11582.4,198.4980690731466,0.0
726,2023-01-28 03:59:45.828829,38.05952705946451,-108.8922784244623,11590.02,11513.82,252.5042421228136,198.4980690731466,11590.02,198.4980690731466,22.8600000000024
727,2023-01-28 04:00:05.642643,38.04871094751452,-108.93559223917148,11590.02,11513.82,252.5042421228136,198.4980690731466,11590.02,198.4980690731466,0.0
728,2023-01-28 04:00:25.456456,38.03797183960099,-108.97868903259874,11590.02,11513.82,252.5042421228136,198.4980690731466,11590.02,198.4980690731466,0.0
729,2023-01-28 04:00:45.270270,38.02749839986791,-109.0203064211342,11590.02,11521.44,252.3627295722296,198.6533349540258,11590.02,198.6533349540258,0.0
730,2023-01-28 04:01:05.084084,38.01681341014613,-109.0629917245942,11590.02,11520.79927966118,252.5042421228136,198.4980690731466,11590.02,198.4980690731466,0.0
731,2023-01-28 04:01:24.897898,38.00615492809084,-109.10543677597856,11582.4,11513.82,252.3627295722296,198.6533349540258,11582.4,198.6533349540258,-22.8600000000024
732,2023-01-28 04:01:44.711712,37.995407740616216,-109.14814954714844,11582.4,11513.82,252.3627295722296,198.6533349540258,11582.4,198.6533349540258,0.0
733,2023-01-28 04:02:04.525526,37.98470499895656,-109.19049712582408,11578.39549515724,11513.82,252.221438919404,198.8098107644674,11578.39549515724,198.8098107644674,-12.013514528280211
734,2023-01-28 04:02:24.339339,37.973883188091875,-109.2332521250785,11574.78,11506.2,252.2665970894232,199.2997487300889,11574.78,199.2997487300889,-10.846485471716733
735,2023-01-28 04:02:44.153153,37.963257248320595,-109.2752952642161,11574.78,11506.2,252.3115337517672,199.7898098923168,11574.78,199.7898098923168,0.0
736,2023-01-28 04:03:03.966967,37.95238170667092,-109.31872639296256,11574.78,11506.2,252.3562504773637,200.279993346809,11574.78,200.279993346809,0.0
737,2023-01-28 04:03:23.780781,37.94150618818822,-109.36176776066128,11574.78,11506.2,252.2161115573075,200.4365196467527,11574.78,200.4365196467527,0.0
738,2023-01-28 04:03:43.594594,37.93053187094717,-109.40453750115844,11582.4,11516.909190073013,251.9364934904488,200.7531610463167,11582.4,200.7531610463167,22.859999999996944
739,2023-01-28 04:04:03.408408,37.91949821468949,-109.44737594973016,11582.4,11518.327927966118,252.1213034041587,201.0837817674877,11582.4,201.0837817674877,0.0
740,2023-01-28 04:04:23.222222,37.90845028280653,-109.49061983975656,11590.02,11529.06,252.1213034041587,201.0837817674877,11590.02,201.0837817674877,22.8600000000024
741,2023-01-28 04:04:43.036036,37.89717907978861,-109.53460693354631,11590.02,11529.06,251.9819088302662,201.2423130793731,11590.02,201.2423130793731,0.0
742,2023-01-28 04:05:02.849850,37.88606427159539,-109.57784660416904,11590.02,11529.06,251.86363155590465,201.37805160520017,11590.02,201.37805160520017,0.0
743,2023-01-28 04:05:22.663664,37.87510381290596,-109.62012357065994,11590.02,11529.06,251.95081584385775,201.18697858361776,11590.02,201.18697858361776,0.0
744,2023-01-28 04:05:42.477478,37.86403970196113,-109.66299668223526,11590.02,11529.06,252.0761921785277,200.5942431538517,11590.02,200.5942431538517,0.0
745,2023-01-28 04:06:02.291291,37.8531078991862,-109.7055417125121,11590.02,11529.06,252.030860259843,200.1048294976331,11590.02,200.1048294976331,0.0
746,2023-01-28 04:06:22.105105,37.84197120121369,-109.74895203869492,11590.02,11529.06,251.9853060817948,199.6155417179366,11590.02,199.6155417179366,0.0
747,2023-01-28 04:06:41.918919,37.83102709173163,-109.7916490348396,11590.02,11529.06,252.0803713571756,198.9674936498637,11590.02,198.9674936498637,0.0
748,2023-01-28 04:07:01.732733,37.82031896090485,-109.83337911271906,11590.02,11529.06,252.0346781967676,198.4780689317931,11590.02,198.4780689317931,0.0
749,2023-01-28 04:07:21.546546,37.80923603113417,-109.87609917053742,11582.4,11521.44,251.7060577328761,198.309320839244,11582.4,198.309320839244,-22.8600000000024
750,2023-01-28 04:07:41.360360,37.79825389684814,-109.9181008102559,11579.654053874016,11518.694053874016,251.8935246108508,198.6373475086121,11579.654053874016,198.6373475086121,-8.237838377952357
751,2023-01-28 04:08:01.174174,37.78728835652873,-109.96030398364,11576.10720641613,11515.14720641613,251.8935246108508,198.6373475086121,11576.10720641613,198.6373475086121,-10.64054237365417
752,2023-01-28 04:08:20.987988,37.77626648042053,-110.00286492283064,11582.308468523026,11521.44,251.8935246108508,198.6373475086121,11582.308468523026,198.6373475086121,18.603786320685685
753,2023-01-28 04:08:40.801802,37.76521313144536,-110.0452167590012,11582.4,11521.44,251.8472941133488,198.1484429615848,11582.4,198.1484429615848,0.27459443092084257
754,2023-01-28 04:09:00.615616,37.753963275334016,-110.0879786671584,11582.4,11526.130990920066,251.5578469591377,197.39530795300516,11582.4,197.39530795300516,0.0
755,2023-01-28 04:09:20.429430,37.74297535115736,-110.1293277653452,11582.4,11521.44,251.4706595334568,197.4955809178111,11582.4,197.4955809178111,0.0
756,2023-01-28 04:09:40.243243,37.731967704120024,-110.1710113990766,11582.4,11529.06,251.6122859392651,197.3326984895905,11582.4,197.3326984895905,0.0
757,2023-01-28 04:10:00.057057,37.720735639292585,-110.21334694906938,11582.4,11529.06,251.4231131201681,197.0078729916188,11582.4,197.0078729916188,0.0
758,2023-01-28 04:10:19.870871,37.70953328369235,-110.25539846539937,11582.4,11529.06,251.565051177078,196.8445870015271,11582.4,196.8445870015271,0.0
759,2023-01-28 04:10:39.684685,37.69856542494874,-110.2971040433698,11574.78,11521.44,251.7541454724217,197.1710237574524,11574.78,197.1710237574524,-22.859999999996944
760,2023-01-28 04:10:59.498498,37.687402543235194,-110.33951292057586,11574.78,11521.44,251.6122859392651,197.3326984895905,11574.78,197.3326984895905,0.0
761,2023-01-28 04:11:19.312312,37.67646890902034,-110.3812730298776,11574.78,11521.44,251.756627951447,197.71003634996725,11574.78,197.71003634996725,0.0
