Unnamed: 0,timestamp,lat,lon,baroaltitude,geoaltitude,heading,velocity,altitude,TAS,vertical_rate,icao24
447,2023-01-16 09:13:07.318318,41.107113521168266,-96.07752900338464,10370.82,10172.7,262.3149420315127,215.4292220148374,10370.82,215.4292220148374,0.0,adabfe
448,2023-01-16 09:13:28.017017,41.10168034532423,-96.13010616538304,10370.82,10172.7,262.1607366681945,214.9889727764118,10370.82,214.9889727764118,0.0,adabfe
449,2023-01-16 09:13:48.715716,41.096204758399594,-96.18268622599402,10363.2,10165.08,262.1419922466179,214.4793479362553,10363.2,214.4793479362553,-22.859999999996944,adabfe
450,2023-01-16 09:14:09.414414,41.090846286693946,-96.2340905566552,10363.2,10165.08,262.1419922466179,214.4793479362553,10363.2,214.4793479362553,0.0,adabfe
451,2023-01-16 09:14:30.113113,41.08534375877233,-96.28691122089658,10355.58,10157.46,262.0064385835803,214.5646937797233,10355.58,214.5646937797233,-22.8600000000024,adabfe
452,2023-01-16 09:14:50.811812,41.07976155732689,-96.33934175571764,10355.58,10157.46,261.8892739655359,215.1317220342371,10355.58,215.1317220342371,0.0,adabfe
453,2023-01-16 09:15:11.510510,41.07415374464126,-96.39129207509872,10359.470089588163,10161.350089588164,261.869897645844,214.622436155032,10359.470089588163,214.622436155032,11.670268764490174,adabfe
454,2023-01-16 09:15:32.209209,41.06848501944478,-96.44420085367165,10361.605825867651,10165.08,261.8892739655359,215.1317220342371,10361.605825867651,215.1317220342371,6.407208838463703,adabfe
455,2023-01-16 09:15:52.907908,41.06279152075876,-96.4960752990155,10363.2,10165.08,261.474949447472,214.8391508089246,10363.2,214.8391508089246,4.782522397048524,adabfe
456,2023-01-16 09:16:13.606607,41.05688600279245,-96.5484540329344,10370.82,10172.7,261.4624506132054,214.8461286723528,10370.82,214.8461286723528,22.859999999996944,adabfe
457,2023-01-16 09:16:34.305305,41.05104963058329,-96.6009362021432,10370.82,10172.7,261.7142029760462,214.1867067419236,10370.82,214.1867067419236,0.0,adabfe
458,2023-01-16 09:16:55.004004,41.04547936484288,-96.65266910558952,10363.2,10172.669489507676,262.0058995798326,214.5502872137716,10363.2,214.5502872137716,-22.859999999996944,adabfe
459,2023-01-16 09:17:15.702703,41.03989800780255,-96.70496347804146,10363.2,10165.08,261.8504291520255,214.1131749381238,10363.2,214.1131749381238,0.0,adabfe
460,2023-01-16 09:17:36.401402,41.03414929570567,-96.75765647574072,10363.2,10165.08,261.7142029760462,214.1867067419236,10363.2,214.1867067419236,0.0,adabfe
461,2023-01-16 09:17:57.100100,41.02841908340806,-96.80966221779885,10355.58,10157.46,261.7339878849654,214.695793540507,10355.58,214.695793540507,-22.8600000000024,adabfe
462,2023-01-16 09:18:17.798799,41.022812320687514,-96.8611465524935,10363.2,10165.08,261.7339878849654,214.695793540507,10363.2,214.695793540507,22.8600000000024,adabfe
463,2023-01-16 09:18:38.497498,41.01694764116368,-96.91386815998705,10363.2,10165.08,261.5981717314091,214.7703581319206,10363.2,214.7703581319206,0.0,adabfe
464,2023-01-16 09:18:59.196196,41.01118606010549,-96.96534064537,10364.695014123918,10166.575014123917,261.6248183282362,214.75572885143407,10364.695014123918,214.75572885143407,4.485042371750751,adabfe
465,2023-01-16 09:19:19.894895,41.005424957359246,-97.01789608087448,10370.82,10172.7,261.7142029760462,214.1867067419236,10370.82,214.1867067419236,18.374957628246193,adabfe
466,2023-01-16 09:19:40.593594,40.99958148652735,-97.07003731693314,10366.29681678772,10168.17681678772,261.5780710717077,214.2614484994355,10366.29681678772,214.2614484994355,-13.56954963683711,adabfe
467,2023-01-16 09:20:01.292292,40.99367569596161,-97.12213101316492,10370.82,10172.7,261.2852671251388,213.9060379029144,10370.82,213.9060379029144,13.56954963683711,adabfe
468,2023-01-16 09:20:21.990991,40.987665446409295,-97.17329970321524,10363.2,10165.08,261.2631096687712,213.3982567689696,10363.2,213.3982567689696,-22.859999999996944,adabfe
469,2023-01-16 09:20:42.689690,40.98155463339319,-97.22579681102866,10363.2,10165.08,261.264339163191,213.3975474151528,10363.2,213.3975474151528,0.0,adabfe
470,2023-01-16 09:21:03.388388,40.97553160946748,-97.27702978887132,10367.860480427742,10172.7,261.2433112302119,212.8890855340875,10367.860480427742,212.8890855340875,13.98144128322383,adabfe
