Unnamed: 0,timestamp,lat,lon,baroaltitude,geoaltitude,heading,velocity,altitude,TAS,vertical_rate,icao24
344,2023-01-03 20:50:22.854855,39.80994390003844,-89.55678913664167,9753.6,9731.84600625515,264.3055692822446,181.4653356232973,9753.6,181.4653356232973,0.0,a009a4
345,2023-01-03 20:50:44.084084,39.806426864495734,-89.60090628231349,9753.6,9737.71927966118,263.9654307874291,181.0587101424485,9753.6,181.0587101424485,0.0,a009a4
346,2023-01-03 20:51:05.313313,39.80291096596082,-89.64532262961438,9753.6,9730.74,264.1273717189332,181.0053504085452,9753.6,181.0053504085452,0.0,a009a4
347,2023-01-03 20:51:26.542542,39.79937617703424,-89.69006428791022,9753.6,9730.74,264.1106628097422,180.4936139833047,9753.6,180.4936139833047,0.0,a009a4
348,2023-01-03 20:51:47.771772,39.79585348594628,-89.73435326813912,9753.6,9724.859099879266,264.1106628097422,180.4936139833047,9753.6,180.4936139833047,0.0,a009a4
349,2023-01-03 20:52:09.001001,39.792251403603586,-89.77878306110537,9753.6,9730.74,263.9136486544172,179.5240036065479,9753.6,179.5240036065479,0.0,a009a4
350,2023-01-03 20:52:30.230230,39.788713418776005,-89.82280443306081,9753.6,9728.985644874572,264.0599627476993,178.9584978619502,9753.6,178.9584978619502,0.0,a009a4
351,2023-01-03 20:52:51.459460,39.78516367317934,-89.86652934610268,9745.98,9715.500000000002,264.0599627476993,178.9584978619502,9745.98,178.9584978619502,-22.8600000000024,a009a4
352,2023-01-03 20:53:12.688689,39.78155114341643,-89.91128361945259,9745.98,9715.500000000002,263.94717474084985,178.9956662957777,9745.98,178.9956662957777,0.0,a009a4
353,2023-01-03 20:53:33.917918,39.777972282865655,-89.95483760509903,9745.98,9715.500000000002,263.8786325733817,178.5009485470584,9745.98,178.5009485470584,0.0,a009a4
354,2023-01-03 20:53:55.147147,39.77436740773802,-89.99867593007205,9745.98,9715.500000000002,263.860973586011,177.9894462341093,9745.98,177.9894462341093,0.0,a009a4
355,2023-01-03 20:54:16.376376,39.77077655963876,-90.04249247020513,9745.98,9715.500000000002,264.0256767135194,177.935166082475,9745.98,177.935166082475,0.0,a009a4
356,2023-01-03 20:54:37.605606,39.767164578964696,-90.08640855210253,9745.98,9715.500000000002,263.860973586011,177.9894462341093,9745.98,177.9894462341093,0.0,a009a4
357,2023-01-03 20:54:58.834835,39.76345891133007,-90.13053744419511,9745.98,9714.241441283228,263.8786325733817,178.5009485470584,9745.98,178.5009485470584,0.0,a009a4
358,2023-01-03 20:55:20.064064,39.75983033758801,-90.17412821642812,9753.6,9715.5,263.8786325733817,178.5009485470584,9753.6,178.5009485470584,22.8600000000024,a009a4
359,2023-01-03 20:55:41.293293,39.75611897790526,-90.218476970023,9753.6,9715.5,263.860973586011,177.9894462341093,9753.6,177.9894462341093,0.0,a009a4
360,2023-01-03 20:56:02.522522,39.75256989323421,-90.26134859421038,9753.6,9715.5,263.860973586011,177.9894462341093,9753.6,177.9894462341093,0.0,a009a4
361,2023-01-03 20:56:23.751752,39.748893765375875,-90.30524616661474,9753.6,9715.5,263.6963722437105,178.0451962786699,9753.6,178.0451962786699,0.0,a009a4
362,2023-01-03 20:56:44.980981,39.74505945777331,-90.34961039746312,9745.98,9707.88,263.5504652961577,178.6135936367338,9745.98,178.6135936367338,-22.8600000000024,a009a4
363,2023-01-03 20:57:06.210210,39.74118484213743,-90.39349323018384,9745.98,9707.88,263.5689491810085,179.124791133336,9745.98,179.124791133336,0.0,a009a4
364,2023-01-03 20:57:27.439440,39.7374208832346,-90.43706919459449,9753.6,9715.5,263.5873278632615,179.6360071660258,9753.6,179.6360071660258,22.8600000000024,a009a4
365,2023-01-03 20:57:48.668669,39.733545056068714,-90.48203910712618,9756.124744148256,9715.5,263.49691097720216,180.1860375623143,9756.124744148256,180.1860375623143,7.574232444765585,a009a4
366,2023-01-03 20:58:09.897898,39.72964908344141,-90.52628782359912,9768.061982445715,9722.341982445718,263.4430535018366,180.2052613147123,9768.061982445715,180.2052613147123,35.811714892379314,a009a4
367,2023-01-03 20:58:31.127127,39.72576487081294,-90.5707667161914,9768.84,9723.12,263.6056022347724,180.147241577,9768.84,180.147241577,2.3340526628544467,a009a4
368,2023-01-03 20:58:52.356356,39.72195349992861,-90.61423370078884,9768.84,9723.12,263.4430535018366,180.2052613147123,9768.84,180.2052613147123,0.0,a009a4
